"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","SM_F_Unreported","All_Irrigation_mg","Large_Farm_unreported","C_irr_lg"
"ACCOMACK",1,5079,58,1673.84777,325.98,182,11.24,984.34,-700.74777,-0.418644862788209
"AMELIA",7,205,19,9.343,297.94,210,4.25,45.84,32.247,3.45146098683506
"AUGUSTA",15,2550,199,175.66,267.19,241,51.07,654.41,427.68,2.43470340430377
"BEDFORD",19,51,51,16.15,283.18,225,12.22,12.22,-16.15,-1
"CAMPBELL",31,313,40,121.59,224.4,284,12.1,94.66,-39.03,-0.320996792499383
"CAROLINE",33,3411,19,543.92,337.88,170,3.44,617.48,70.1200000000001,0.128916017061333
"CHARLES CITY",36,1376,15,344.0851,339.03,169,2.7,247.63,-99.1551,-0.288170281131034
"CHARLOTTE",37,534,94,15.35,268.04,240,24.02,136.47,97.1,6.3257328990228
"CLARKE",43,143,34,16.56,270.91,237,8.58,36.09,10.95,0.661231884057971
"CULPEPER",47,615,167,81.2651,255.33,253,44.99,165.69,39.4349,0.485262431228166
"DINWIDDIE",53,1578,27,31.129,323.25,185,5.32,310.87,274.421,8.81560602653474
"ESSEX",57,3,3,340.34,304.12,204,0.65,0.65,-340.34,-1
"FLOYD",63,182,122,31.672,240.31,268,34.82,51.94,-14.552,-0.45945945945946
"GREENSVILLE",81,5,5,48.91836,332.42,176,0.94,0.94,-48.91836,-1
"HANOVER",85,3569,179,583.82644,302.35,206,39.27,782.9,159.80356,0.273717579491604
"HENRICO",87,28,28,97.14,309.16,199,5.93,5.93,-97.14,-1
"ISLE OF WIGHT",93,934,37,71.1,395.49,113,4.45,112.39,36.84,0.518143459915612
"KING AND QUEEN",97,1221,37,418.6888,297.21,211,8.31,274.34,-152.6588,-0.3646116160738
"KING WILLIAM",101,1618,17,285.391,296.25,212,3.84,365.26,76.029,0.266402934920863
"MIDDLESEX",119,270,26,22.39,318.98,189,5.23,54.34,26.72,1.19338990620813
"MONTGOMERY",121,323,36,42.2739,261.1,247,9.47,84.96,33.2161,0.785735406480121
"NELSON",125,1016,66,474.32,249.6,258,18.13,279.13,-213.32,-0.449738573115197
"NEW KENT",127,271,18,24.19,303.81,204,3.91,58.87,30.77,1.27201322860686
"NORTHAMPTON",131,5857,8,529.24973,286.89,221,1.88,1378.36,847.23027,1.60081379729754
"PAGE",139,108,20,25.55,252.41,256,5.45,29.44,-1.56,-0.0610567514677104
"POWHATAN",145,63,16,4.3,278.17,230,3.92,15.43,7.21,1.67674418604651
"PRINCE WILLIAM",153,943,34,14.541,298.57,209,7.57,209.87,187.759,12.9123856681109
"ROANOKE",161,71,71,0.75,286.85,221,16.71,16.71,-0.75,-1
"ROCKINGHAM",165,5526,282,254.245,275.33,233,69.97,1371.07,1046.855,4.11750476902201
"SHENANDOAH",171,893,99,36.38,260.5,248,26.14,235.83,173.31,4.76388125343595
"SOUTHAMPTON",175,1624,14,138.2595,397.15,111,1.65,191.96,52.0505,0.376469609683241
"SPOTSYLVANIA",177,96,27,0.146,323.44,185,5.32,18.91,13.444,92.0821917808219
"SURRY",181,929,10,43.719,337.31,171,1.82,169.16,123.621,2.82762643244356
"SUSSEX",183,699,15,195.364,368.46,140,2.24,104.21,-93.394,-0.478051227452345
"WESTMORELAND",193,882,111,321.7426,327.94,180,21.28,169.06,-173.9626,-0.540688736897134
"CHESAPEAKE CITY",550,72,57,0.896212,416.67,91,5.52,6.98,0.563788000000001,0.629078834025878
"SUFFOLK CITY",800,585,60,111.95,390.7,117,7.48,72.88,-46.55,-0.415810629745422
