"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","parm_Coeff","Unreported_Coeff_Based"
1,2002,"ACCOMACK",3444.534,0.00498294580304673,17.16
7,2002,"AMELIA",42.093,0.565431654141752,23.8
15,2002,"AUGUSTA",461.554,0.111768446847221,51.59
33,2002,"CAROLINE",960.526,0.00895006236355105,8.6
36,2002,"CHARLES CITY",268.67,0.0182719052226552,4.91
41,2002,"CHESTERFIELD",55,0.232363636363636,12.78
43,2002,"CLARKE",42.8,0.488489789196311,20.91
47,2002,"CULPEPER",4.11,0.360604268823076,1.48
53,2002,"DINWIDDIE",14.055,0.511771990816582,7.19
57,2002,"ESSEX",140.34,0.0456321399094832,6.4
59,2002,"FAIRFAX",14.599,1.56423280841941,22.84
67,2002,"FRANKLIN",11.81,5.12785774767146,60.56
69,2002,"FREDERICK",9,3.53916013989459,31.85
81,2002,"GREENSVILLE",50.8297,0.0192156891604706,0.98
83,2002,"HALIFAX",26.816,4.20833333333333,112.85
85,2002,"HANOVER",236.0457,0.112790947501383,26.62
93,2002,"ISLE OF WIGHT",97.5,0.0794646838873452,7.75
97,2002,"KING AND QUEEN",256.91,0.0204653341356247,5.26
101,2002,"KING WILLIAM",143.51,0.013284040147059,1.91
107,2002,"LOUDOUN",36.6,1.60928961748634,58.9
111,2002,"LUNENBURG",10,1.30023094688222,13
117,2002,"MECKLENBURG",5.59,7.31939880689516,40.92
119,2002,"MIDDLESEX",13.4,0.140779697741511,1.89
121,2002,"MONTGOMERY",17,0.244581775160134,4.16
125,2002,"NELSON",192.13,0.0451328355346267,8.67
127,2002,"NEW KENT",11.89,0.161637040099215,1.92
131,2002,"NORTHAMPTON",742.087,0.0129422670699437,9.6
137,2002,"ORANGE",0.45,0.962727272727273,0.43
139,2002,"PAGE",34.476,0.166260303262101,5.73
143,2002,"PITTSYLVANIA",86.068,0.707463865780546,60.89
145,2002,"POWHATAN",0.58,1.10831395348837,0.64
147,2002,"PRINCE EDWARD",38.6,31.5712768377276,1218.65
153,2002,"PRINCE WILLIAM",3.4,0.757357289934748,2.58
161,2002,"ROANOKE",20.7,11.6714009661836,241.6
165,2002,"ROCKINGHAM",276.896,0.233059596296536,64.53
171,2002,"SHENANDOAH",30.277,0.714238300211713,21.62
175,2002,"SOUTHAMPTON",41,0.0152946860043602,0.63
177,2002,"SPOTSYLVANIA",60.56,0.885530830499719,53.63
181,2002,"SURRY",53.203,0.148584327824544,7.91
183,2002,"SUSSEX",38.6,0.0421294857582188,1.63
193,2002,"WESTMORELAND",311.381,0.0340943069444158,10.62
800,2002,"SUFFOLK CITY",208.64,0.0721104830078936,15.05
1,2003,"ACCOMACK",3104.2237,0.00498294580304673,15.47
15,2003,"AUGUSTA",141.597,0.111768446847221,15.83
33,2003,"CAROLINE",129.274,0.00895006236355105,1.16
36,2003,"CHARLES CITY",140,0.0182719052226552,2.56
41,2003,"CHESTERFIELD",15.4,0.232363636363636,3.58
43,2003,"CLARKE",1.5,0.488489789196311,0.73
47,2003,"CULPEPER",5.302,0.360604268823076,1.91
53,2003,"DINWIDDIE",0.217,0.511771990816582,0.11
57,2003,"ESSEX",24.42,0.0456321399094832,1.11
59,2003,"FAIRFAX",54.1,1.56423280841941,84.62
63,2003,"FLOYD",10.5,1.52623717751503,16.03
69,2003,"FREDERICK",6,3.53916013989459,21.23
83,2003,"HALIFAX",0.015,4.20833333333333,0.06
85,2003,"HANOVER",75.178,0.112790947501383,8.48
93,2003,"ISLE OF WIGHT",2,0.0794646838873452,0.16
97,2003,"KING AND QUEEN",62.029,0.0204653341356247,1.27
101,2003,"KING WILLIAM",24.1,0.013284040147059,0.32
107,2003,"LOUDOUN",0.97,1.60928961748634,1.56
119,2003,"MIDDLESEX",12,0.140779697741511,1.69
121,2003,"MONTGOMERY",10.4,0.244581775160134,2.54
125,2003,"NELSON",125.38,0.0451328355346267,5.66
127,2003,"NEW KENT",5.62,0.161637040099215,0.91
131,2003,"NORTHAMPTON",457.66466,0.0129422670699437,5.92
145,2003,"POWHATAN",4.81,1.10831395348837,5.33
147,2003,"PRINCE EDWARD",0.744,31.5712768377276,23.49
161,2003,"ROANOKE",0.4,11.6714009661836,4.67
165,2003,"ROCKINGHAM",32.521,0.233059596296536,7.58
175,2003,"SOUTHAMPTON",50.95,0.0152946860043602,0.78
