"Year","Min","Median","Mean","Max"
"2002",0,0.15,2.29120879120879,65.71
"2007",0,0.1,1.16932584269663,20.02
"2012",0,0.07,5.8456043956044,311.57
"2017",0,0.05,2.15390804597701,86.44
