"County","Min","Median","Mean","Max","Recent"
"ACCOMACK",0.000981528913524345,0.00290132430692693,0.0026925192466472,0.00398589945921058,0.0033967610678637
"ALBEMARLE",0.00370073707966119,0.00756039766403232,0.00729269313706758,0.0103492401405445,0.00668470894224835
"AMELIA",0.0708411943445324,0.401666151845769,0.441917807312572,0.893497731214216,0.0708411943445324
"APPOMATTOX",0.0711323910105152,0.30490526424268,0.412158806797046,0.967692307692308,0.967692307692308
"AUGUSTA",0.00401409896569482,0.0134465362174157,0.0113941462932316,0.0146694137724003,0.0145790395452186
"BEDFORD",0.00177752795283438,0.00217683475059559,0.00385631790065291,0.0092940741485861,0.00177752795283438
"BOTETOURT",0.00531622804835982,0.00909022167499123,0.00858885422233149,0.0108587454909837,0.00531622804835982
"BRUNSWICK",0.00188675009315786,0.0129256934134561,0.0173410511831424,0.0416260678124996,0.00188675009315786
"BUCKINGHAM",0.012066562118836,0.0363693888294164,0.0324243090325506,0.0448918963525334,0.0448918963525334
"CAMPBELL",0.0054120952967644,0.0141065638818917,0.0127182948914762,0.0172479565053573,0.0054120952967644
"CAROLINE",0.00205340552483178,0.0029365576516086,0.00448828058383256,0.0100266015072813,0.00205340552483178
"CARROLL",0.0213148472227012,0.0386081900842573,0.0460477344167054,0.085659710275606,0.0213148472227012
"CHARLES CITY",0.00570006139129645,0.0167051931108567,0.0237678396241245,0.0559609108834881,0.0069333741748447
"CHARLOTTE",0.245234667728465,0.296972140473665,0.319151637936893,0.437427603071775,0.245234667728465
"CHESAPEAKE CITY",0.002776185463689,0.00390142784911748,0.00985369801768516,0.0288357509088167,0.00278414560858801
"CHESTERFIELD",0.000104494101575587,0.000264351497043139,0.000255386044469156,0.000388347082214761,0.000157664260430515
"CLARKE",0.0312676127692181,0.05710283394916,0.0604838821248466,0.0964622478318481,0.0361437561029448
"CRAIG",0.00329442450480053,0.00689116012980353,0.0176095928004542,0.0533616264374093,0.00429595256428414
"CULPEPER",0.0156342765763479,0.0293117095589204,0.03303957331478,0.0579005975649313,0.0418608705405922
"DINWIDDIE",0.0339969914579683,0.158847249115803,0.162480301859547,0.298229717748614,0.0339969914579683
"FAIRFAX",0.00038220146837287,0.000474800300564111,0.000606787982823472,0.0010953498617928,0.000408977215480335
"FAUQUIER",0.0410157721388509,0.046595764138833,0.0511878032622086,0.0705439126323175,0.0428078125442608
"FLOYD",0.436283774403449,1.13099466822772,1.06224911357827,1.55072334345419,0.436283774403449
"FLUVANNA",0.0178324379204406,0.0238715183420094,0.0274796137141712,0.0443429802522256,0.0178324379204406
"FRANKLIN",0.017519242642697,0.0509526813102543,0.0663744213049714,0.14607307995668,0.0238631626096728
"FREDERICK",0.00196177559741646,0.0133119068969637,0.0226929351019077,0.0621861510162871,0.00196177559741646
"GILES",0.000163570401715102,0.000275083268573159,0.000279914533136627,0.000405921193685085,0.000243571386952788
"GLOUCESTER",0.00643236785259226,0.0262107813823045,0.0241546253151238,0.0377645706432939,0.00643236785259226
"GOOCHLAND",0.00493826536532318,0.008307074702193,0.00821424752200608,0.0113045753183151,0.00764371677376983
"GRAYSON",0.0656364676214105,0.231257550486656,0.216053396828181,0.336062018718,0.0656364676214105
"GREENE",0.0216133823440018,0.0374405242791283,0.0350460359563605,0.0436897129231838,0.0216133823440018
"HALIFAX",0.015327658492646,0.0418366417083847,0.0461019744784329,0.0854069560043162,0.015327658492646
"HANOVER",0.01686744466008,0.0284239713553129,0.0326656352039044,0.0569471534449116,0.0287498140294449
"HENRICO",0.000167903401874533,0.000569367807345875,0.00672080928393619,0.0255765981191785,0.000630684576520407
"HENRY",0.00153829014678203,0.00463971364889215,0.00500254643078008,0.009192468278554,0.00291683912410091
"ISLE OF WIGHT",0.0000819335628680995,0.000457575583383075,0.000442063531479156,0.000771169396282373,0.000579539477619853
"JAMES CITY",0.000637773576937417,0.00099097171520154,0.00118317201868876,0.00211297106741454,0.00211297106741454
"KING AND QUEEN",0.0146822204344328,0.0201785678099642,0.0348680184331154,0.0844327176781003,0.0196340227608177
"KING WILLIAM",0,0.000561713584215983,0.000457853993595923,0.000707988805951727,0.00053885551038395
"LEE",0.00614602025084953,0.0155693514265215,0.0344124063794012,0.100364902413712,0.00614602025084953
"LOUDOUN",0.0126934055011214,0.0234953422780036,0.0225226828454218,0.0304066413245587,0.0126934055011214
"LOUISA",0.0657216881570918,0.0776169023609835,0.0790074057651426,0.0950741301815117,0.0950741301815117
"LUNENBURG",0.0170490834138282,0.0455618300529741,0.0431175774728645,0.0642975663716814,0.0170490834138282
"MADISON",0.0861219539924963,0.17145567028884,0.226510688456141,0.477009459254388,0.23011057216028
"MATHEWS",0.445132081214412,0.684139559871223,0.810495657382072,1.42857142857143,0.50063649470476
"MECKLENBURG",0.0136786433121962,0.0280134319965728,0.0320221604138638,0.0583831343501133,0.0277187074864759
"MIDDLESEX",0,0.0358071950718609,0.0320424856669605,0.0565555525241203,0.0565555525241203
"MONTGOMERY",0.000980356593892944,0.00124696651495229,0.00128186007373479,0.00165315067114165,0.000980356593892944
"NELSON",0.0131668118888566,0.0202500685272867,0.0333922777343694,0.0799021619940478,0.0175046884178979
"NORTHAMPTON",0.00212871819257812,0.00982665059785219,0.00901589862038412,0.014281575093254,0.00212871819257812
"NOTTOWAY",0.0194370009185436,0.0336948187124498,0.0333568820840981,0.0466008899929492,0.0281998980112188
"ORANGE",0.0143775634368272,0.0156929134097591,0.0181340880938537,0.0267729621190694,0.0148898470720329
"PAGE",0.00468993696998577,0.00759546332017836,0.00943130197996533,0.0178443443095188,0.00828049327734099
"PATRICK",0.0190332863698655,0.0502177479347166,0.070914564658347,0.16418947639409,0.0677333810662892
"PITTSYLVANIA",0.0172550509697252,0.0261175407579479,0.0348491490148899,0.0699064635739387,0.0172550509697252
"POWHATAN",0.0113710493084607,0.0920233392715659,0.134925077278327,0.344282581261716,0.0560349073457804
"PRINCE EDWARD",0.00848059105151137,0.0232323945162071,0.161632465635311,0.591584482457318,0.00871222856225654
"PRINCE WILLIAM",0.000156525888455762,0.000580527212894018,0.000583309149773637,0.00101565628485075,0.000297990691236797
"PULASKI",0.000534057227072611,0.00318574101125765,0.00301383506644548,0.00514980101619403,0.00514980101619403
"RAPPAHANNOCK",0.207875960482986,1.13190663362916,1.04012774500179,1.68882175226586,1.17349023453461
"ROANOKE",0.00277916137602626,0.00319043764293473,0.00328895569834035,0.00399578613146567,0.00399578613146567
"ROCKBRIDGE",0.0113498536845722,0.0141818806547213,0.0138027833406317,0.015497518368512,0.015497518368512
"ROCKINGHAM",0.00497265139062269,0.00669064267900811,0.00655933498667356,0.00788340319805534,0.00788340319805534
"SCOTT",0.00632517153720908,0.0316892329400521,0.0460040562345747,0.114312587520985,0.00632517153720908
"SHENANDOAH",0.00526024195791593,0.0113108129594901,0.0107663451011777,0.0151835125278148,0.0111875884978802
"SMYTH",0.00217224194411635,0.00293094037308426,0.00480956865173174,0.0112041519166421,0.00275817379362528
"SOUTHAMPTON",0,0.00135919890945618,0.00172684340580697,0.00418897580431551,0.000587202014515446
"SPOTSYLVANIA",0.00130358872983501,0.00300618338068011,0.0031855326382767,0.00542617506191157,0.00130358872983501
"STAFFORD",0.000545364932080479,0.00131808899190613,0.00131004791438237,0.00205864874163674,0.000545364932080479
"SUFFOLK CITY",0.000175539802691235,0.000286579157302357,0.000386939546779139,0.000799060069820606,0.000208128015724046
"SURRY",0.0152840417388705,0.0575964984802654,0.0674055055862023,0.139144983645408,0.0152840417388705
"SUSSEX",0,0.00658490608279728,0.00615089760947781,0.0114337782723167,0.0041344673564505
"VIRGINIA BEACH CITY",0.000514096577567288,0.00099607434307596,0.000940112699423341,0.00125420553397415,0.000514096577567288
"WARREN",0.000779185994669992,0.00256916794475639,0.00283706551417241,0.00543074017250685,0.000779185994669992
"WASHINGTON",0.00258344385151694,0.00624866897327064,0.00586441161616505,0.00837686466660196,0.00258344385151694
"WESTMORELAND",0.000765784131262794,0.0250839911481958,0.0263383563180197,0.0544196588444243,0.0487358552396327
"WISE",0.000494718359736542,0.000786545159406914,0.00079760767429157,0.00112262201861591,0.00112262201861591
"WYTHE",0.00181365111242088,0.00446100218066009,0.00414189359380751,0.00583191890148896,0.00181365111242088
"YORK",0.000128825207267419,0.000269919823796728,0.000282490866157994,0.000461298609771103,0.000372603043447495
