"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"35","GREENSVILLE",5,0,5,Inf,100,5,81,729.41545,Inf,Inf
"36","HALIFAX",1061,1009,52,5.15,4.9,51.989,83,730.0528,37.62,0.05
"37","HANOVER",3569,3390,179,5.28,5.02,179.1638,85,1365.921879,72.19,0.05
"38","HENRICO",28,0,28,Inf,100,28,87,9402.4814,Inf,Inf
"39","HENRY",43,29,14,48.28,32.56,14.0008,89,1227.356,592.57,0.48
"40","ISLE OF WIGHT",934,897,37,4.12,3.96,36.9864,93,7678.510562,316.61,0.04
"41","JAMES CITY",40,13,27,207.69,67.5,27,95,3185.0885721,6615.18,2.08
"42","KING AND QUEEN",1221,1184,37,3.12,3.03,36.9963,97,423.2449,13.23,0.03
"43","KING WILLIAM",1618,1601,17,1.06,1.05,16.989,101,7126.21459,75.62,0.01
"44","LANCASTER",12,0,12,Inf,100,12,103,177.555194,Inf,Inf
"45","LEE",32,0,32,Inf,100,32,105,870.482,Inf,Inf
"46","LOUDOUN",392,150,242,161.33,61.73,241.9816,107,4344.775718,7008.18,1.61
"47","LOUISA",215,125,90,72,41.86,89.999,109,264.1097,190.16,0.72
"48","LUNENBURG",1408,1393,15,1.08,1.07,15.0656,111,189.453,2.05,0.01
"49","MADISON",80,13,67,515.38,83.75,67,113,65.750999,338.87,5.15
"50","MATHEWS",10,0,10,Inf,100,10,115,4.953694,Inf,Inf
"51","MECKLENBURG",4163,4062,101,2.49,2.43,101.1609,117,717.926693,17.88,0.02
"52","MIDDLESEX",270,244,26,10.66,9.63,26.001,119,92.475447,9.85,0.11
"53","MONTGOMERY",323,287,36,12.54,11.15,36.0145,121,9659.7504,1212.23,0.13
"54","NELSON",1016,950,66,6.95,6.5,66.04,125,1035.72252,72,0.07
"55","NEW KENT",271,253,18,7.11,6.64,17.9944,127,6832.186418,485.92,0.07
"56","NORTHAMPTON",5857,5849,8,0.14,0.14,8.1998,131,883.160583,1.24,0
"57","NOTTOWAY",44,0,44,Inf,100,44,135,392.2,Inf,Inf
"58","ORANGE",214,175,39,22.29,18.22,38.9908,137,638.69024,142.3,0.22
"59","PAGE",108,88,20,22.73,18.52,20.0016,139,658.17335,149.6,0.23
"60","PATRICK",213,136,77,56.62,36.15,76.9995,141,232.381726,131.57,0.57
"61","PITTSYLVANIA",1492,1414,78,5.52,5.23,78.0316,143,929.003341,51.27,0.06
"62","POWHATAN",63,47,16,34.04,25.4,16.002,145,69.956393,23.82,0.34
"63","PRINCE EDWARD",14,0,14,Inf,100,14,147,428.133855,Inf,Inf
"64","PRINCE WILLIAM",943,909,34,3.74,3.61,34.0423,153,25403.4781039,951.41,0.04
"65","PULASKI",28,0,28,Inf,100,28,155,1598.12,Inf,Inf
"66","RAPPAHANNOCK",61,0,61,Inf,100,61,157,12.237,Inf,Inf
"67","RICHMOND",29,13,16,123.08,55.17,15.9993,159,102.71097,126.4,1.23
"68","ROANOKE",71,0,71,Inf,100,71,161,4181.9055,Inf,Inf
"69","ROCKBRIDGE",83,43,40,93.02,48.19,39.9977,163,670.42992,623.59,0.93
"70","ROCKINGHAM",5526,5244,282,5.38,5.1,281.826,165,8875.608445,476.98,0.05
"71","SCOTT",13,0,13,Inf,100,13,169,415.799,Inf,Inf
"72","SHENANDOAH",893,794,99,12.47,11.09,99.0337,171,2336.51783,291.44,0.12
"73","SMYTH",28,0,28,Inf,100,28,173,2062.959199,Inf,Inf
"74","SOUTHAMPTON",1624,1610,14,0.87,0.86,13.9664,175,2809.935864,24.38,0.01
"75","SPOTSYLVANIA",96,69,27,39.13,28.12,26.9952,177,4081.041726,1596.53,0.39
"76","STAFFORD",10,0,10,Inf,100,10,179,4400.723,Inf,Inf
"77","SURRY",929,919,10,1.09,1.08,10.0332,181,119.07845,1.3,0.01
"78","SUSSEX",699,684,15,2.19,2.15,15.0285,183,541.786839,11.9,0.02
"79","WARREN",10,0,10,Inf,100,10,187,3619.16156,Inf,Inf
"80","WASHINGTON",122,71,51,71.83,41.8,50.996,191,3971.443,2852.34,0.72
"81","WESTMORELAND",882,771,111,14.4,12.59,111.0438,193,436.639511,62.89,0.14
"82","WISE",27,12,15,125,55.56,15.0012,195,2262.56029,2828.71,1.25
"83","WYTHE",18,0,18,Inf,100,18,197,2789.952249,Inf,Inf
"84","YORK",11,0,11,Inf,100,11,199,6494.847647,Inf,Inf
"85","CHESAPEAKE CITY",72,15,57,380,79.17,57.0024,550,1982.654924,7535.61,3.8
"86","SUFFOLK CITY",585,525,60,11.43,10.26,60.021,800,35939.419179,4108.96,0.11
"87","VIRGINIA BEACH CITY",315,250,65,26,20.63,64.9845,810,10503.862962,2730.18,0.26
