"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"1","ACCOMACK",5079,5021,58,1.16,1.14,57.9006,1,3309.034629,38.16,0.01
"2","ALBEMARLE",783,670,113,16.87,14.43,112.9869,3,4644.929236,783.29,0.17
"3","AMELIA",205,186,19,10.22,9.27,19.0035,7,59.993342,6.13,0.1
"4","AMHERST",176,153,23,15.03,13.07,23.0032,9,6120.38967,920.21,0.15
"5","APPOMATTOX",24,0,24,Inf,100,24,11,6.5,Inf,Inf
"6","AUGUSTA",2550,2351,199,8.46,7.8,198.9,15,3502.974242,296.35,0.08
"7","BEDFORD",51,0,51,Inf,100,51,19,6874.71608,Inf,Inf
"8","BLAND",801,797,4,0.5,0.5,4.005,21,68.0126,0.34,0
"9","BOTETOURT",10,0,10,Inf,100,10,23,532.332318,Inf,Inf
"10","BRUNSWICK",2115,2109,6,0.28,0.28,5.922,25,588.313208,1.65,0
"11","BUCKINGHAM",65,46,19,41.3,29.23,18.9995,29,121.18,50.05,0.41
"12","CAMPBELL",313,273,40,14.65,12.78,40.0014,31,2235.73299,327.59,0.15
"13","CAROLINE",3411,3392,19,0.56,0.56,19.1016,33,1675.265776,9.43,0.01
"14","CARROLL",597,581,16,2.75,2.68,15.9996,35,182.032738,5.01,0.03
"15","CHARLES CITY",1376,1361,15,1.1,1.09,14.9984,36,389.420783,4.29,0.01
"16","CHARLOTTE",534,440,94,21.36,17.6,93.984,37,97.947,20.92,0.21
"17","CHESTERFIELD",75,47,28,59.57,37.33,27.9975,41,36089.345705,21496.97,0.6
"18","CLARKE",143,109,34,31.19,23.78,34.0054,43,237.3854,74.06,0.31
"19","CRAIG",115,96,19,19.79,16.52,18.998,45,1247.68603,246.91,0.2
"20","CULPEPER",615,448,167,37.28,27.15,166.9725,47,1074.750702004,400.54,0.37
"21","CUMBERLAND",167,144,23,15.97,13.77,22.9959,49,5.11825,0.82,0.16
"22","DINWIDDIE",1578,1551,27,1.74,1.71,26.9838,53,156.484435,2.72,0.02
"23","ESSEX",3,0,3,Inf,100,3,57,440.214291,Inf,Inf
"24","FAIRFAX",60,0,60,Inf,100,60,59,32642.405236,Inf,Inf
"25","FAUQUIER",452,235,217,92.34,48.01,217.0052,61,1176.654377,1086.58,0.92
"26","FLOYD",182,60,122,203.33,67.03,121.9946,63,79.81044,162.26,2.03
"27","FLUVANNA",79,61,18,29.51,22.78,17.9962,65,311.791356,91.98,0.3
"28","FRANKLIN",441,334,107,32.04,24.26,106.9866,67,448.80891,143.76,0.32
"29","FREDERICK",38,23,15,65.22,39.47,14.9986,69,1937.0207301,1263.08,0.65
"30","GILES",27,0,27,Inf,100,27,71,25126.104,Inf,Inf
"31","GLOUCESTER",13,0,13,Inf,100,13,73,486.601524,Inf,Inf
"32","GOOCHLAND",112,92,20,21.74,17.86,20.0032,75,732.627878,159.3,0.22
"33","GRAYSON",160,139,21,15.11,13.12,20.992,77,74.95833,11.32,0.15
"34","GREENE",24,0,24,Inf,100,24,79,229.48745,Inf,Inf
