"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","SM_F_Unreported","All_Irrigation_mg","Large_Farm_unreported","C_irr_lg"
"ACCOMACK",1,6508,49,1779.744198,254.2,254,13.25,1760.25,-32.7441979999999,-0.0183982608493942
"AMELIA",7,562,38,15.681,245.76,262,10.6,156.79,130.509,8.3227472737708
"AUGUSTA",15,3813,195,592.1592,263.68,244,50.67,990.72,347.8908,0.587495389753296
"BEDFORD",19,567,41,11.9226,227.42,281,12.27,169.66,145.4674,12.2009796520893
"CAMPBELL",31,779,107,59.51,242.45,266,30.31,220.65,130.83,2.19845404133759
"CAROLINE",33,2112,79,541.364,221.7,286,24.06,643.21,77.786,0.14368520995116
"CHARLES CITY",36,739,12,11.9,310.18,198,2.53,155.81,141.38,11.8806722689076
"CHARLOTTE",37,731,136,23.2,231.06,277,40.12,215.62,152.3,6.56465517241379
"CHESTERFIELD",41,185,46,37.9,254.63,253,12.39,49.84,-0.449999999999996,-0.0118733509234827
"CLARKE",43,514,60,44,191.58,316,20.19,172.96,108.77,2.47204545454545
"CULPEPER",47,1266,67,410.727,212.79,295,21.05,397.69,-34.087,-0.0829918656431157
"DINWIDDIE",53,1885,25,97.3087,266.9,241,6.42,483.75,380.0213,3.90531679079055
"FAIRFAX",59,40,40,17.4,202.2,306,13.03,13.03,-17.4,-1
"FREDERICK",69,298,101,13.534,202.47,306,32.91,97.1,50.656,3.742869809369
"HALIFAX",83,1549,123,9.12,215.03,293,38.38,483.3,435.8,47.7850877192982
"HANOVER",85,3188,116,274.1886,272.89,235,29.03,797.77,494.5514,1.80369059836915
"ISLE OF WIGHT",93,702,44,123,255.19,253,11.85,189.13,54.28,0.44130081300813
"KING AND QUEEN",97,16,16,293.42,250.93,257,4.38,4.38,-293.42,-1
"KING GEORGE",99,672,21,175.802,187.45,321,7.18,229.7,46.718,0.265742141727625
"KING WILLIAM",101,2690,0,702.694,247.95,260,0,744.77,42.076,0.0598781261829474
"LOUDOUN",107,3533,142,32.6308,177.57,330,49.9,1241.51,1158.9792,35.5179523640242
"LUNENBURG",111,770,35,8.66,206.45,302,11.26,247.62,227.7,26.2933025404157
"MECKLENBURG",117,3235,60,7.17,191.51,316,20.19,1088.57,1061.21,148.006973500697
"MIDDLESEX",119,480,0,90.576,266.65,241,0,123.18,32.604,0.359962904080551
"MONTGOMERY",121,384,38,46.54,203.37,305,12.34,124.72,65.84,1.41469703480877
"NELSON",125,774,97,468.463,271.92,236,24.38,194.51,-298.333,-0.636833645346591
"NEW KENT",127,495,7,138.01,290.31,218,1.62,114.91,-24.72,-0.179117455256865
"NORTHAMPTON",131,9286,48,907.219324,238.36,270,13.8,2669.85,1748.830676,1.92768234729533
"ORANGE",137,627,39,70,258.99,249,10.34,166.25,85.91,1.22728571428571
"PAGE",139,296,47,12.17,291.6,216,10.81,68.08,45.1,3.70583401807724
"PATRICK",141,432,22,1,276.37,232,5.44,106.72,100.28,100.28
"PITTSYLVANIA",143,4187,64,65.3438,217.54,290,19.76,1292.99,1207.8862,18.4850926943337
"POWHATAN",145,28,2,3.3,242.05,266,0.57,7.93,4.06,1.23030303030303
"PRINCE WILLIAM",153,685,89,2.632,206.26,302,28.62,220.29,189.038,71.8229483282675
"ROCKINGHAM",165,4808,241,167.963,332.69,175,44.91,895.98,683.107,4.06700880551074
"SHENANDOAH",171,755,125,29.928,278.97,229,30.48,184.11,123.702,4.13331996792302
"SOUTHAMPTON",175,3507,90,259.1787,249.88,258,24.73,963.49,679.5813,2.6220569051392
"SPOTSYLVANIA",177,144,79,25.43,240.3,268,22.55,41.1,-6.88,-0.270546598505702
"SURRY",181,1028,22,39.699,277.11,231,5.41,252.87,207.761,5.23340638303232
"SUSSEX",183,1645,0,41.22,252.6,255,0,446.68,405.46,9.836487142164
"WESTMORELAND",193,1673,5,863.926,175.57,332,1.77,591.46,-274.236,-0.317429965066452
"CHESAPEAKE CITY",550,239,56,1.440575,297.57,210,12.52,53.45,39.489425,27.4122659354772
"SUFFOLK CITY",800,616,68,180.6075,314.63,193,13.98,126.6,-67.9875,-0.376437855570782
