"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,5371,54,4613.681973,315.02,193,11.1,0.00240588754599016,11.1
"2","ALBEMARLE",3,1456,168,3716.21486,292.78,215,38.46,0.0103492401405445,38.46
"3","ALLEGHANY",5,8,8,14351.1265,271.22,237,2.02,0.000140755500970603,2.02
"4","AMELIA",7,374,45,117.781,195.37,313,15,0.127355006325299,15
"5","APPOMATTOX",11,105,81,42.3,269.17,239,20.61,0.487234042553191,20.61
"6","AUGUSTA",15,3271,87,4038.266156,332.94,175,16.21,0.00401409896569482,16.21
"7","BATH",17,19,19,3818.33,287.21,221,4.47,0.00117066885261358,4.47
"8","BEDFORD",19,93,54,6562.0609,223.25,285,16.39,0.00249769093121339,16.39
"9","BOTETOURT",23,52,25,621.356066,274.14,234,6.23,0.010026457197249,6.23
"10","BRUNSWICK",25,1280,40,361.79871,366.46,142,6.05,0.0167220054488309,6.05
"11","BUCKINGHAM",29,16,16,125.099,269.99,238,4.05,0.0323743595072702,4.05
"12","CAMPBELL",31,290,98,1786.7911,256.6,251,26.19,0.0146575612560416,26.19
"13","CAROLINE",33,1959,25,2654.55079,225.94,282,7.51,0.00282910390273603,7.51
"14","CARROLL",35,1086,19,190.4055,259.57,248,5.02,0.0263647846306961,5.02
"15","CHARLES CITY",36,1435,11,428.065565,300.37,208,2.44,0.00570006139129645,2.44
"16","CHARLOTTE",37,759,85,82.747,272.3,236,21.36,0.258136246631298,21.36
"17","CHESTERFIELD",41,64,12,32729.120098,240.09,268,3.42,0.000104494101575587,3.42
"18","CLARKE",43,249,28,252.6576,243.06,265,7.9,0.0312676127692181,7.9
"19","CRAIG",45,10,10,895.4523,230.71,277,2.95,0.00329442450480053,2.95
"20","CULPEPER",47,641,64,998.447221,279.19,229,15.61,0.0156342765763479,15.61
"21","CUMBERLAND",49,18,18,2.3137,255.47,253,4.85,2.09620953451182,4.85
"22","DICKENSON",51,12,12,2145.649,308.27,200,2.56,0.00119311220055098,2.56
"23","DINWIDDIE",53,1162,53,52.41692,251.02,257,14.5,0.276628233784053,14.5
"24","FAIRFAX",59,50,50,32000.095555,182.77,325,17.3,0.000540623385647887,17.3
"25","FAUQUIER",61,394,207,1089.4393,258.57,249,54.89,0.0503837157334052,54.89
"26","FLOYD",63,192,133,34.472,216.51,291,41.21,1.19546298445115,41.21
"27","FLUVANNA",65,144,61,326.771,284.91,223,14.49,0.0443429802522256,14.49
"28","FRANKLIN",67,893,103,450.932735,436.18,72,7.9,0.017519242642697,7.9
"29","FREDERICK",69,151,79,1624.9001,277.36,231,19.43,0.0119576581969562,19.43
"30","GILES",71,32,32,24019.4406,222.16,286,9.75,0.000405921193685085,9.75
"31","GLOUCESTER",73,46,46,475.7657,286.32,222,10.87,0.022847380548871,10.87
"32","GOOCHLAND",75,32,32,801.5221,296.55,211,7.19,0.00897043263061617,7.19
"33","GRAYSON",77,45,45,36.6599,251.37,257,12.32,0.336062018718,12.32
"34","GREENE",79,49,38,228.98635,330.5,178,7.2,0.0314429222527893,7.2
"35","GREENSVILLE",81,246,9,743.817485,384.09,124,1.19,0.00159985483535655,1.19
"36","HALIFAX",83,2152,223,675.589,265.24,243,57.7,0.0854069560043162,57.7
"37","HANOVER",85,3338,247,1177.758605,252.59,255,67.07,0.0569471534449116,67.07
"38","HENRICO",87,7,7,9648.404868,290.28,218,1.62,0.000167903401874533,1.62
"39","HENRY",89,137,40,1209.6859802,246.69,261,11.12,0.009192468278554,11.12
"40","HIGHLAND",91,20,9,2577.252,296.95,211,2.02,0.000783780553861244,2.02
"41","ISLE OF WIGHT",93,702,13,4499.247341,399.4,109,1.51,0.000335611689146298,1.51
"42","JAMES CITY",95,37,15,2230.915845,341.42,167,2.67,0.00119681789251894,2.67
"43","KING AND QUEEN",97,18,18,250.445,236.84,271,5.19,0.0207231128591108,5.19
"44","KING GEORGE",99,350,34,636.7857,218.14,290,10.5,0.0164890637462493,10.5
"45","KING WILLIAM",101,1125,16,7903.222704,236.94,271,4.62,0.000584571658048015,4.62
"46","LEE",105,61,61,800.624,327.51,180,11.69,0.014601111133316,11.69
"47","LOUDOUN",107,580,235,2337.318326,223.71,284,71.07,0.0304066413245587,71.07
"48","LOUISA",109,278,88,217.138472,304.24,204,19.12,0.0880544098145814,19.12
"49","LUNENBURG",111,444,33,170.069,319.14,189,6.64,0.0390429766741734,6.64
"50","MADISON",113,70,30,49.5564,332.64,175,5.59,0.112800768417399,5.59
"51","MATHEWS",115,17,17,7.8853,313.66,194,3.51,0.445132081214412,3.51
"52","MECKLENBURG",117,2760,66,585.58439,394.32,114,8.01,0.0136786433121962,8.01
"53","MIDDLESEX",119,477,18,144.40603,285.59,222,4.26,0.0295001531445744,4.26
"54","MONTGOMERY",121,349,37,10645.2492,217.7,290,11.43,0.00107371840576546,11.43
"55","NELSON",125,862,57,1032.9,284.05,224,13.6,0.0131668118888566,13.6
"56","NORTHAMPTON",131,6335,47,1177.014682,319.6,188,9.41,0.00799480256610767,9.41
"57","NORTHUMBERLAND",133,38,2,135.1638,283.85,224,0.48,0.00355124670954797,0.48
"58","NOTTOWAY",135,75,55,392.96,245.45,263,15.4,0.0391897394136808,15.4
"59","ORANGE",137,563,51,641.9746,312.69,195,10.59,0.0164959797474853,10.59
"60","PAGE",139,1005,19,646.848,286.71,221,4.47,0.00691043336301573,4.47
"61","PATRICK",141,108,38,251.0541,304.98,203,8.21,0.032702114803144,8.21
"62","PITTSYLVANIA",143,3717,184,703.511485,256.64,251,49.18,0.0699064635739387,49.18
"63","POWHATAN",145,99,20,40.7775,262.98,245,5.22,0.128011771197351,5.22
"64","PRINCE EDWARD",147,96,11,380.86968,232.14,276,3.23,0.00848059105151137,3.23
"65","PRINCE GEORGE",149,8,8,107.589905,282.06,226,1.93,0.0179384859573954,1.93
"66","PRINCE WILLIAM",153,1006,69,24517.308691,219.82,288,21.16,0.000863063734551239,21.16
