Year,Min,Median,Mean,Max
2002,0,0.35525018,2.398841283,33.86666667
2007,0,0.212605042,1.112390369,10.87386018
2012,0.001525754,0.167588349,6.577928381,164.4758158
2017,0.001909855,0.16163704,2.004073816,36.43835616
