Year,Min,Median,Mean,Max
2002,-1,3.997131342,39.78146242,959.2888889
2007,-1,2.198454041,13.0711063,148.0069735
2012,-1,0.427806611,26.25059058,484.2369852
2017,-1,0.37646961,3.751399556,92.08219178
