"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_Total_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation","Large_Farm_unreported","C_tot_lg"
"SHENANDOAH",171,755,125,2007.440633,278.97,483,64.29,29.928,388.32,294.102,0.146505951491319
"SMYTH",173,188,66,1719.00561,233.52,528,37.11,0,105.7,68.59,0.0399009750759336
"SOUTHAMPTON",175,3507,90,5903.591034,249.88,512,49.07,259.1787,1912.05,1603.8013,0.271665379726234
"SPOTSYLVANIA",177,144,79,4155.78188,240.3,522,43.91,25.43,80.04,10.7,0.00257472608259219
"STAFFORD",179,221,11,4652.618,234.59,527,6.17,0,124.02,117.85,0.0253298250576342
"SURRY",181,1028,22,103.262,277.11,485,11.36,39.699,530.92,479.861,4.64702407468381
"SUSSEX",183,1645,0,588.938,252.6,509,0,41.22,891.61,850.39,1.44393807157969
"TAZEWELL",185,330,29,1247.3252,249.47,513,15.84,0,180.27,164.43,0.131826086733436
"WARREN",187,58,58,4304.443,212.2,550,33.97,0,33.97,0,0
"WASHINGTON",191,410,123,3408.1964,290.22,472,61.82,0,206.07,144.25,0.0423244388146176
"WESTMORELAND",193,1673,5,1235.92386,175.57,586,3.12,863.926,1043.97,176.924,0.143151213214704
"WISE",195,115,5,1773.06878,284.42,478,2.55,0,58.54,55.99,0.0315780192125429
"WYTHE",197,164,55,3002.4423,209.39,553,32.39,0,96.57,64.18,0.0213759311877534
"YORK",199,17,17,32214.1923,278.94,483,8.74,0,8.74,0,0
"CHESAPEAKE CITY",550,239,56,4509.785158,297.57,464,27.67,1.440575,118.09,88.97943,0.0197303035250266
"SUFFOLK CITY",800,616,68,38298.190706,314.63,447,32.37,180.6075,293.21,80.2325,0.00209494230722054
"VIRGINIA BEACH CITY",810,193,51,13960.175028,250.71,511,27.75,0,105.02,77.27,0.00553503088929896
