"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,6508,49,3324.218319,254.2,254,13.25,0.00398589945921058,13.25
"2","ALBEMARLE",3,1026,70,3966.777343,310.72,197,14.68,0.00370073707966119,14.68
"3","AMELIA",7,562,38,15.681,245.76,262,10.6,0.675977297366239,10.6
"4","AMHERST",9,147,27,5940.585,216.57,291,8.37,0.00140895214865203,8.37
"5","APPOMATTOX",11,43,43,97.49015,246.72,261,11.95,0.122576485932169,11.95
"6","AUGUSTA",15,3813,195,4114.81766,263.68,244,50.67,0.0123140328896129,50.67
"7","BATH",17,7,7,4446.422228,206.39,302,2.25,0.000506024818298025,2.25
"8","BEDFORD",19,567,41,6611.067713,227.42,281,12.27,0.00185597856997778,12.27
"9","BLAND",21,10,10,57.531,227.8,280,2.98,0.0517981609914655,2.98
"10","BOTETOURT",23,63,25,659.376353,238.53,269,7.16,0.0108587454909837,7.16
"11","BRUNSWICK",25,1316,26,931.0598,200.65,307,8.5,0.00912938137808119,8.5
"12","BUCKINGHAM",29,39,26,161.28066,272.59,235,6.51,0.0403644181515626,6.51
"13","CAMPBELL",31,779,107,2235.9818,242.45,266,30.31,0.0135555665077417,30.31
"14","CAROLINE",33,2112,79,2399.616658,221.7,286,24.06,0.0100266015072813,24.06
"15","CARROLL",35,600,31,163.0234,257.15,251,8.29,0.0508515955378185,8.29
"16","CHARLES CITY",36,739,12,45.210129,310.18,198,2.53,0.0559609108834881,2.53
"17","CHARLOTTE",37,731,136,119.47302,231.06,277,40.12,0.335808034316032,40.12
"18","CHESTERFIELD",41,185,46,33392.7401,254.63,253,12.39,0.000371038733655762,12.39
"19","CLARKE",43,514,60,258.64086,191.58,316,20.19,0.0780619117953753,20.19
"20","CRAIG",45,6,6,32.0455,239.52,268,1.71,0.0533616264374093,1.71
"21","CULPEPER",47,1266,67,1255.77563,212.79,295,21.05,0.0167625485772486,21.05
"22","DINWIDDIE",53,1885,25,156.3327,266.9,241,6.42,0.0410662644475532,6.42
"23","FAIRFAX",59,40,40,34091.9674,202.2,306,13.03,0.00038220146837287,13.03
"24","FAUQUIER",61,920,160,1254.3955,206.09,302,51.45,0.0410157721388509,51.45
"25","FLOYD",63,108,108,22.396,205.91,302,34.73,1.55072334345419,34.73
