"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","parm_Coeff","Unreported_Coeff_Based"
1,2002,"ACCOMACK",3444.534,0.514909693744429,1773.62
7,2002,"AMELIA",42.093,9.59875625319276,404.04
15,2002,"AUGUSTA",461.554,2.87142324702369,1325.32
33,2002,"CAROLINE",960.526,0.776237007796579,745.6
36,2002,"CHARLES CITY",268.67,1.19778262511733,321.81
41,2002,"CHESTERFIELD",55,0.980211081794195,53.91
43,2002,"CLARKE",42.8,2.18157704636778,93.37
47,2002,"CULPEPER",4.11,2.08115607277407,8.55
53,2002,"DINWIDDIE",14.055,28.3886567006993,399
57,2002,"ESSEX",140.34,-0.563346159327348,-79.06
59,2002,"FAIRFAX",14.599,-1,-14.6
67,2002,"FRANKLIN",11.81,37.9771380186283,448.51
69,2002,"FREDERICK",9,14.0392552912008,126.35
81,2002,"GREENSVILLE",50.8297,1.957956095746,99.52
83,2002,"HALIFAX",26.816,90.0756578947368,2415.47
85,2002,"HANOVER",236.0457,3.31456703923812,782.39
93,2002,"ISLE OF WIGHT",97.5,3.67995910418695,358.8
97,2002,"KING AND QUEEN",256.91,-0.299873796480823,-77.04
101,2002,"KING WILLIAM",143.51,1.43950190537085,206.58
107,2002,"LOUDOUN",36.6,63.6257523566692,2328.7
111,2002,"LUNENBURG",10,49.2505773672055,492.51
117,2002,"MECKLENBURG",5.59,326.518119874352,1825.24
119,2002,"MIDDLESEX",13.4,2.96701631123018,39.76
121,2002,"MONTGOMERY",17,3.02364849662201,51.4
125,2002,"NELSON",192.13,0.0280736669115601,5.39
127,2002,"NEW KENT",11.89,4.10086812732534,48.76
131,2002,"NORTHAMPTON",742.087,4.63590919989701,3440.25
137,2002,"ORANGE",0.45,21.2545454545455,9.56
139,2002,"PAGE",34.476,5.63446976423706,194.25
143,2002,"PITTSYLVANIA",86.068,35.5512871917458,3059.83
145,2002,"POWHATAN",0.58,7.06377906976744,4.1
147,2002,"PRINCE EDWARD",38.6,468.676448422044,18090.91
153,2002,"PRINCE WILLIAM",3.4,81.4451377030758,276.91
161,2002,"ROANOKE",20.7,-0.869806763285024,-18
165,2002,"ROCKINGHAM",276.896,8.77789823725534,2430.56
171,2002,"SHENANDOAH",30.277,10.2469173404847,310.25
175,2002,"SOUTHAMPTON",41,6.39101590418334,262.03
177,2002,"SPOTSYLVANIA",60.56,1.36799965032248,82.85
181,2002,"SURRY",53.203,13.07658754811,695.71
183,2002,"SUSSEX",38.6,12.4384026985491,480.12
193,2002,"WESTMORELAND",311.381,0.815224827920033,253.85
800,2002,"SUFFOLK CITY",208.64,0.648469455511227,135.3
1,2003,"ACCOMACK",3104.2237,0.514909693744429,1598.39
15,2003,"AUGUSTA",141.597,2.87142324702369,406.58
33,2003,"CAROLINE",129.274,0.776237007796579,100.35
36,2003,"CHARLES CITY",140,1.19778262511733,167.69
41,2003,"CHESTERFIELD",15.4,0.980211081794195,15.1
43,2003,"CLARKE",1.5,2.18157704636778,3.27
47,2003,"CULPEPER",5.302,2.08115607277407,11.03
53,2003,"DINWIDDIE",0.217,28.3886567006993,6.16
57,2003,"ESSEX",24.42,-0.563346159327348,-13.76
59,2003,"FAIRFAX",54.1,-1,-54.1
63,2003,"FLOYD",10.5,0.338022551053512,3.55
69,2003,"FREDERICK",6,14.0392552912008,84.24
83,2003,"HALIFAX",0.015,90.0756578947368,1.35
85,2003,"HANOVER",75.178,3.31456703923812,249.18
93,2003,"ISLE OF WIGHT",2,3.67995910418695,7.36
97,2003,"KING AND QUEEN",62.029,-0.299873796480823,-18.6
101,2003,"KING WILLIAM",24.1,1.43950190537085,34.69
107,2003,"LOUDOUN",0.97,63.6257523566692,61.72
119,2003,"MIDDLESEX",12,2.96701631123018,35.6
121,2003,"MONTGOMERY",10.4,3.02364849662201,31.45
125,2003,"NELSON",125.38,0.0280736669115601,3.52
127,2003,"NEW KENT",5.62,4.10086812732534,23.05
