"Year","County_Code","name","PPT","Irrigation","parm_UnderTh","Unreported_Irrigation_based"
2002,179,"STAFFORD",198.83,309,25,8.23
2002,107,"LOUDOUN",209.01,299,242,77.05
2002,71,"GILES",252.49,256,32,8.72
2002,1,"ACCOMACK",215.86,292,58,18.03
2002,127,"NEW KENT",167.24,341,18,6.54
2002,185,"TAZEWELL",294.61,213,29,6.58
2002,21,"BLAND",266.76,241,21,5.39
2002,91,"HIGHLAND",248.84,259,9,2.48
2002,61,"FAUQUIER",206.7,301,217,69.55
2002,69,"FREDERICK",261.41,247,159,41.82
2002,17,"BATH",211.17,297,19,6.01
2002,3,"ALBEMARLE",249.55,258,168,46.16
2002,51,"DICKENSON",303.83,204,12,2.61
2002,49,"CUMBERLAND",174.03,334,27,9.6
2002,85,"HANOVER",170.63,337,278,99.76
2002,81,"GREENSVILLE",268.68,239,9,2.29
2002,5,"ALLEGHANY",220.71,287,11,3.36
2002,165,"ROCKINGHAM",211.37,297,350,110.69
2002,171,"SHENANDOAH",237.71,270,125,35.94
2002,145,"POWHATAN",177.67,330,32,11.24
2002,175,"SOUTHAMPTON",296.08,212,90,20.32
2002,139,"PAGE",231.87,276,47,13.81
2002,133,"NORTHUMBERLAND",215.27,293,10,3.12
2002,75,"GOOCHLAND",187.49,321,32,10.94
2002,65,"FLUVANNA",225.19,283,61,18.38
2002,95,"JAMES CITY",169.8,338,27,9.72
2002,63,"FLOYD",204.98,303,196,63.24
2002,149,"PRINCE GEORGE",228.06,280,8,2.39
2002,77,"GRAYSON",287.24,221,77,18.12
2002,131,"NORTHAMPTON",204.19,304,48,15.54
2002,137,"ORANGE",237.63,270,53,15.24
2002,79,"GREENE",279.71,228,47,11.41
2002,195,"WISE",308.96,199,15,3.18
2002,183,"SUSSEX",297.29,211,25,5.62
2002,87,"HENRICO",175.58,332,49,17.32
2002,101,"KING WILLIAM",174.97,333,17,6.03
2002,103,"LANCASTER",211.98,296,12,3.78
2002,187,"WARREN",238.84,269,70,20.05
2002,9,"AMHERST",194.36,314,36,12.04
2002,155,"PULASKI",212.68,295,28,8.8
2002,19,"BEDFORD",241.49,267,159,45.21
2002,173,"SMYTH",315.77,192,66,13.49
2003,67,"FRANKLIN",322.8,185,242,47.67
2003,37,"CHARLOTTE",415.76,92,202,19.79
2003,99,"KING GEORGE",346.12,162,34,5.87
2003,135,"NOTTOWAY",440.16,68,55,3.98
2003,25,"BRUNSWICK",424.95,83,126,11.14
2003,161,"ROANOKE",442.56,65,82,5.68
2003,36,"CHARLES CITY",439.57,68,21,1.52
2003,550,"CHESAPEAKE CITY",422.84,85,189,17.11
2003,11,"APPOMATTOX",465.04,43,81,3.71
2003,73,"GLOUCESTER",461.72,46,58,2.84
2003,47,"CULPEPER",411.32,97,167,17.25
2003,105,"LEE",368.35,140,204,30.41
2003,193,"WESTMORELAND",383.56,124,122,16.11
2003,143,"PITTSYLVANIA",499.2,9,211,2.02
2003,117,"MECKLENBURG",424.11,84,236,21.11
2003,121,"MONTGOMERY",441.4,67,41,2.93
2003,89,"HENRY",527.6,-20,40,-0.85
2003,93,"ISLE OF WIGHT",406.02,102,44,4.78
2003,169,"SCOTT",448.2,60,180,11.5
2003,167,"RUSSELL",506.87,1,118,0.13
2003,59,"FAIRFAX",398.5,110,101,11.83
2003,31,"CAMPBELL",435.97,72,130,9.97
2003,157,"RAPPAHANNOCK",462.52,45,95,4.55
2003,23,"BOTETOURT",462.08,46,77,3.77
2003,197,"WYTHE",419.88,88,55,5.15
2003,43,"CLARKE",422.72,85,94,8.51
2003,83,"HALIFAX",465.17,43,223,10.21
2003,800,"SUFFOLK CITY",344.61,163,109,18.92
2003,113,"MADISON",476.75,31,72,2.38
2003,163,"ROCKBRIDGE",427.69,80,59,5.03
2003,810,"VIRGINIA BEACH CITY",426.34,82,65,5.68
2003,15,"AUGUSTA",447,61,199,12.93
2003,45,"CRAIG",427.08,81,30,2.59
2003,181,"SURRY",413.95,94,65,6.51
2003,159,"RICHMOND",433,75,21,1.68
2003,153,"PRINCE WILLIAM",375.98,132,89,12.51
