"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"1","ACCOMACK",6508,6459,49,0.76,0.75,48.81,1,3324.218319,25.12,0.01
"2","ALBEMARLE",1026,956,70,7.32,6.82,69.9732,3,3966.777343,290.34,0.07
"3","AMELIA",562,524,38,7.25,6.76,37.9912,7,15.681,1.14,0.07
"4","AMHERST",147,120,27,22.5,18.37,27.0039,9,5940.585,1336.87,0.23
"5","APPOMATTOX",43,0,43,Inf,100,43,11,97.49015,Inf,Inf
"6","AUGUSTA",3813,3618,195,5.39,5.11,194.8443,15,4114.81766,221.59,0.05
"7","BATH",7,0,7,Inf,100,7,17,4446.422228,Inf,Inf
"8","BEDFORD",567,526,41,7.79,7.23,40.9941,19,6611.067713,515.23,0.08
"9","BLAND",10,0,10,Inf,100,10,21,57.531,Inf,Inf
"10","BOTETOURT",63,38,25,65.79,39.68,24.9984,23,659.376353,433.75,0.66
"11","BRUNSWICK",1316,1290,26,2.02,1.98,26.0568,25,931.0598,18.81,0.02
"12","BUCKINGHAM",39,13,26,200,66.67,26.0013,29,161.28066,322.61,2
"13","CAMPBELL",779,672,107,15.92,13.74,107.0346,31,2235.9818,356.16,0.16
"14","CAROLINE",2112,2033,79,3.89,3.74,78.9888,33,2399.616658,93.23,0.04
"15","CARROLL",600,569,31,5.45,5.17,31.02,35,163.0234,8.89,0.05
"16","CHARLES CITY",739,727,12,1.65,1.62,11.9718,36,45.210129,0.74,0.02
"17","CHARLOTTE",731,595,136,22.86,18.6,135.966,37,119.47302,27.3,0.23
"18","CHESTERFIELD",185,139,46,33.09,24.86,45.991,41,33392.7401,11047.96,0.33
"19","CLARKE",514,454,60,13.22,11.67,59.9838,43,258.64086,34.17,0.13
"20","CRAIG",6,0,6,Inf,100,6,45,32.0455,Inf,Inf
"21","CULPEPER",1266,1199,67,5.59,5.29,66.9714,47,1255.77563,70.14,0.06
"22","DINWIDDIE",1885,1860,25,1.34,1.33,25.0705,53,156.3327,2.11,0.01
"23","FAIRFAX",40,0,40,Inf,100,40,59,34091.9674,Inf,Inf
"24","FAUQUIER",920,760,160,21.05,17.39,159.988,61,1254.3955,264.06,0.21
"25","FLOYD",108,0,108,Inf,100,108,63,22.396,Inf,Inf
"26","FLUVANNA",264,234,30,12.82,11.36,29.9904,65,346.654785,44.43,0.13
"27","FRANKLIN",872,732,140,19.13,16.06,140.0432,67,492.8103,94.29,0.19
"28","FREDERICK",298,197,101,51.27,33.89,100.9922,69,2243.941828,1150.31,0.51
"29","GILES",30,17,13,76.47,43.33,12.999,71,22192.279055,16968.26,0.76
"30","GLOUCESTER",58,0,58,Inf,100,58,73,507.53728,Inf,Inf
"31","GOOCHLAND",20,0,20,Inf,100,20,75,949.7262,Inf,Inf
"32","GRAYSON",97,60,37,61.67,38.14,36.9958,77,50.13227,30.91,0.62
"33","GREENE",154,107,47,43.93,30.52,47.0008,79,248.5711,109.19,0.44
"34","HALIFAX",1549,1426,123,8.63,7.94,122.9906,83,698.41449,60.24,0.09
"35","HANOVER",3188,3072,116,3.78,3.64,116.0432,85,1033.164889,39.03,0.04
"36","HENRICO",25,0,25,Inf,100,25,87,11258.71137,Inf,Inf
"37","HENRY",525,519,6,1.16,1.14,5.985,89,1111.62384,12.82,0.01
"38","ISLE OF WIGHT",702,658,44,6.69,6.27,44.0154,93,15366.273684,1027.92,0.07
"39","JAMES CITY",29,13,16,123.08,55.17,15.9993,95,5613.277391,6907.97,1.23
"40","KING AND QUEEN",16,0,16,Inf,100,16,97,298.32,Inf,Inf
"41","KING GEORGE",672,651,21,3.23,3.12,20.9664,99,1242.0798,40,0.03
"42","KING WILLIAM",2690,2690,0,0,0,0,101,7165.26171,0,0
"43","LEE",297,254,43,16.93,14.48,43.0056,105,766.738,129.82,0.17
"44","LOUDOUN",3533,3391,142,4.19,4.02,142.0266,107,2538.796988,106.33,0.04
"45","LOUISA",279,225,54,24,19.35,53.9865,109,196.042254,47.04,0.24
"46","LUNENBURG",770,735,35,4.76,4.55,35.035,111,216.203,10.31,0.05
"47","MADISON",69,30,39,130,56.52,38.9988,113,105.548,137.2,1.3
"48","MATHEWS",53,34,19,55.88,35.85,19.0005,115,5.9702,3.34,0.56
"49","MECKLENBURG",3235,3175,60,1.89,1.85,59.8475,117,713.222,13.44,0.02
"50","MIDDLESEX",480,480,0,0,0,0,119,160.215729,0,0
"51","MONTGOMERY",384,346,38,10.98,9.9,38.016,121,8688.827583,954.71,0.11
"52","NELSON",774,677,97,14.33,12.53,96.9822,125,1060.2098,151.87,0.14
"53","NEW KENT",495,488,7,1.43,1.41,6.9795,127,10425.07855,149.1,0.01
"54","NORTHAMPTON",9286,9238,48,0.52,0.52,48.2872,131,1183.685862,6.19,0.01
"55","NORTHUMBERLAND",62,61,1,1.64,1.61,0.9982,133,987.23769,16.15,0.02
"56","NOTTOWAY",386,354,32,9.04,8.29,31.9994,135,464.577845,41.99,0.09
"57","ORANGE",627,588,39,6.63,6.22,38.9994,137,719.1761,47.7,0.07
"58","PAGE",296,249,47,18.88,15.88,47.0048,139,605.794184,114.36,0.19
"59","PATRICK",432,410,22,5.37,5.09,21.9888,141,285.815066,15.33,0.05
"60","PITTSYLVANIA",4187,4123,64,1.55,1.53,64.0611,143,1073.054393,16.67,0.02
"61","POWHATAN",28,26,2,7.69,7.14,1.9992,145,50.1273,3.85,0.08
"62","PRINCE EDWARD",123,63,60,95.24,48.78,59.9994,147,30.883163,29.41,0.95
"63","PRINCE GEORGE",6,0,6,Inf,100,6,149,255.943891,Inf,Inf
"64","PRINCE WILLIAM",685,596,89,14.93,12.99,88.9815,153,28178.8243,4206.91,0.15
"65","PULASKI",241,218,23,10.55,9.54,22.9914,155,1780.94,187.82,0.11
"66","RAPPAHANNOCK",132,76,56,73.68,42.42,55.9944,157,14.271,10.51,0.74
"67","RICHMOND",243,241,2,0.83,0.82,1.9926,159,113.77872,0.94,0.01
"68","ROANOKE",94,41,53,129.27,56.38,52.9972,161,4487.925,5800.76,1.29
"69","ROCKBRIDGE",109,63,46,73.02,42.2,45.998,163,1052.877009,768.71,0.73
"70","ROCKINGHAM",4808,4567,241,5.28,5.01,240.8808,165,9031.399242,476.34,0.05
"71","RUSSELL",134,106,28,26.42,20.9,28.006,167,644.75017,170.36,0.26
"72","SCOTT",243,159,84,52.83,34.57,84.0051,169,397.3463,209.94,0.53
"73","SHENANDOAH",755,630,125,19.84,16.56,125.028,171,2007.440633,398.41,0.2
"74","SMYTH",188,122,66,54.1,35.11,66.0068,173,1719.00561,930.1,0.54
"75","SOUTHAMPTON",3507,3417,90,2.63,2.57,90.1299,175,5903.591034,155.72,0.03
"76","SPOTSYLVANIA",144,65,79,121.54,54.86,78.9984,177,4155.78188,5050.65,1.22
"77","STAFFORD",221,210,11,5.24,4.98,11.0058,179,4652.618,243.84,0.05
"78","SURRY",1028,1006,22,2.19,2.14,21.9992,181,103.262,2.26,0.02
"79","SUSSEX",1645,1645,0,0,0,0,183,588.938,0,0
"80","TAZEWELL",330,301,29,9.63,8.79,29.007,185,1247.3252,120.21,0.1
"81","WARREN",58,0,58,Inf,100,58,187,4304.443,Inf,Inf
"82","WASHINGTON",410,287,123,42.86,30,123,191,3408.1964,1460.66,0.43
"83","WESTMORELAND",1673,1668,5,0.3,0.3,5.019,193,1235.92386,3.72,0
"84","WISE",115,110,5,4.55,4.35,5.0025,195,1773.06878,80.64,0.05
"85","WYTHE",164,109,55,50.46,33.54,55.0056,197,3002.4423,1515.23,0.5
"86","YORK",17,0,17,Inf,100,17,199,32214.1923,Inf,Inf
"87","CHESAPEAKE CITY",239,183,56,30.6,23.43,55.9977,550,4509.785158,1379.97,0.31
"88","SUFFOLK CITY",616,548,68,12.41,11.04,68.0064,800,38298.190706,4752.83,0.12
"89","VIRGINIA BEACH CITY",193,142,51,35.92,26.42,50.9906,810,13960.175028,5012.61,0.36
