"Year","County_Code","name","PPT","Irrigation","Median_UnderTh","Unreported_Irrigation_based"
2007,153,"PRINCE WILLIAM",206.26,556,51.5,30.49
2007,199,"YORK",278.94,483,14,7.2
2007,7,"AMELIA",245.76,516,41.5,22.8
2007,119,"MIDDLESEX",266.65,495,17,8.96
2007,109,"LOUISA",278.76,483,71,36.52
2007,111,"LUNENBURG",206.45,556,34,20.13
2007,115,"MATHEWS",252.32,510,13.5,7.33
2007,191,"WASHINGTON",290.22,472,106,53.28
2007,29,"BUCKINGHAM",272.59,489,17.5,9.11
2007,33,"CAROLINE",221.7,540,25,14.38
2007,53,"DINWIDDIE",266.9,495,40,21.08
2007,141,"PATRICK",276.37,486,57.5,29.76
2007,177,"SPOTSYLVANIA",240.3,522,34.5,19.18
2007,35,"CARROLL",257.15,505,25,13.44
2007,57,"ESSEX",212.84,549,21,12.28
2007,41,"CHESTERFIELD",254.63,507,31.5,17.01
2007,125,"NELSON",271.92,490,81.5,42.53
2007,147,"PRINCE EDWARD",221.93,540,30,17.25
2007,97,"KING AND QUEEN",250.93,511,27.5,14.96
2007,179,"STAFFORD",234.59,527,16.5,9.26
2007,107,"LOUDOUN",177.57,584,210,130.59
2007,71,"GILES",246.32,516,27.5,15.11
2007,1,"ACCOMACK",254.2,508,51.5,27.86
2007,127,"NEW KENT",290.31,472,15,7.54
2007,185,"TAZEWELL",249.47,513,29,15.84
2007,21,"BLAND",227.8,534,10,5.69
2007,91,"HIGHLAND",268.83,493,9,4.72
2007,61,"FAUQUIER",206.09,556,204.5,121.08
2007,69,"FREDERICK",202.47,560,90,53.67
2007,17,"BATH",206.39,556,7,4.14
2007,3,"ALBEMARLE",310.72,451,116.5,55.95
2007,51,"DICKENSON",284.24,478,12,6.11
2007,49,"CUMBERLAND",237.17,525,23,12.86
2007,85,"HANOVER",272.89,489,213,110.91
2007,81,"GREENSVILLE",215.81,546,5,2.91
2007,5,"ALLEGHANY",212.82,549,9.5,5.55
2007,165,"ROCKINGHAM",332.69,429,261.5,119.46
2007,171,"SHENANDOAH",278.97,483,105,54
2007,145,"POWHATAN",242.05,520,18,9.97
2007,175,"SOUTHAMPTON",249.88,512,21,11.45
2007,139,"PAGE",291.6,470,19.5,9.76
2007,133,"NORTHUMBERLAND",226.46,536,2,1.14
2007,75,"GOOCHLAND",287.78,474,21.5,10.85
2007,65,"FLUVANNA",285.7,476,27,13.69
2007,95,"JAMES CITY",298.49,464,15.5,7.66
2007,63,"FLOYD",205.91,556,127.5,75.49
2007,149,"PRINCE GEORGE",285.09,477,7,3.56
2007,77,"GRAYSON",260.92,501,41,21.87
2007,131,"NORTHAMPTON",238.36,524,45.5,25.39
2007,137,"ORANGE",258.99,503,45,24.1
2007,79,"GREENE",291.39,471,37,18.56
2007,195,"WISE",284.42,478,11,5.6
2007,183,"SUSSEX",252.6,509,15.5,8.4
2007,87,"HENRICO",293.27,469,26.5,13.23
2007,101,"KING WILLIAM",247.95,514,15.5,8.48
2007,103,"LANCASTER",220.77,541,12,6.91
2007,187,"WARREN",212.2,550,35,20.5
2007,9,"AMHERST",216.57,545,27,15.67
2007,155,"PULASKI",229.17,533,18.5,10.5
2007,19,"BEDFORD",227.42,535,52.5,29.91
2007,173,"SMYTH",233.52,528,33,18.55
2008,67,"FRANKLIN",251.67,510,123.5,67.07
2008,37,"CHARLOTTE",244.09,518,115,63.43
2008,99,"KING GEORGE",277.98,484,21,10.82
2008,135,"NOTTOWAY",191.81,570,38,23.06
2008,25,"BRUNSWICK",209.66,552,33,19.4
2008,161,"ROANOKE",248.6,513,62,33.87
2008,36,"CHARLES CITY",197.19,565,13.5,8.12
2008,550,"CHESAPEAKE CITY",222.07,540,62.5,35.94
2008,11,"APPOMATTOX",206.53,555,33.5,19.8
2008,73,"GLOUCESTER",204.71,557,48.5,28.77
2008,47,"CULPEPER",286.43,476,89,45.11
2008,105,"LEE",239.48,523,52,28.96
2008,193,"WESTMORELAND",323.74,438,58,27.05
2008,143,"PITTSYLVANIA",236.72,525,131,73.24
2008,117,"MECKLENBURG",234.53,527,83.5,46.86
2008,121,"MONTGOMERY",236.35,526,37.5,21
2008,89,"HENRY",225.03,537,26.5,15.15
2008,93,"ISLE OF WIGHT",191.37,571,25,15.2
2008,169,"SCOTT",257.76,504,53.5,28.71
2008,167,"RUSSELL",330.01,432,28,12.88
2008,59,"FAIRFAX",259.33,503,55,29.46
2008,31,"CAMPBELL",215.37,547,102.5,59.7
2008,157,"RAPPAHANNOCK",281.43,481,58.5,29.96
2008,23,"BOTETOURT",242.5,520,25,13.84
2008,197,"WYTHE",258.51,503,37,19.82
2008,43,"CLARKE",277.58,484,47,24.22
2008,83,"HALIFAX",229.87,532,102.5,58.07
2008,800,"SUFFOLK CITY",228.86,533,65,36.89
2008,113,"MADISON",265.94,496,53,27.99
2008,163,"ROCKBRIDGE",226.44,536,50.5,28.82
2008,810,"VIRGINIA BEACH CITY",229.05,533,47.5,26.96
2008,15,"AUGUSTA",210.97,551,189.5,111.19
2008,45,"CRAIG",262,500,14.5,7.72
2008,181,"SURRY",167.45,595,26,16.47
2008,159,"RICHMOND",323.76,438,16,7.46
2008,153,"PRINCE WILLIAM",257.81,504,51.5,27.64
2008,199,"YORK",189.4,573,14,8.54
2008,7,"AMELIA",180.99,581,41.5,25.68
2008,119,"MIDDLESEX",260.86,501,17,9.07
2008,109,"LOUISA",262.45,500,71,37.8
2008,111,"LUNENBURG",218.23,544,34,19.7
2008,115,"MATHEWS",232.35,530,13.5,7.62
2008,191,"WASHINGTON",316.25,446,106,50.34
2008,29,"BUCKINGHAM",194.48,568,17.5,10.58
2008,33,"CAROLINE",260.96,501,25,13.34
2008,53,"DINWIDDIE",169.03,593,40,25.26
2008,141,"PATRICK",262.06,500,57.5,30.61
2008,177,"SPOTSYLVANIA",300.21,462,34.5,16.97
2008,35,"CARROLL",263.75,498,25,13.26
2008,57,"ESSEX",316.26,446,21,9.97
2008,41,"CHESTERFIELD",191.62,570,31.5,19.12
2008,125,"NELSON",202.31,560,81.5,48.6
2008,147,"PRINCE EDWARD",200.69,561,30,17.92
2008,97,"KING AND QUEEN",268.94,493,27.5,14.44
2008,179,"STAFFORD",268.78,493,16.5,8.66
2008,107,"LOUDOUN",251.87,510,210,114.05
2008,71,"GILES",286.67,475,27.5,13.91
2008,1,"ACCOMACK",257.45,505,51.5,27.69
2008,127,"NEW KENT",213.03,549,15,8.77
2008,185,"TAZEWELL",311.99,450,29,13.9
2008,21,"BLAND",280.02,482,10,5.13
2008,91,"HIGHLAND",244.21,518,9,4.96
2008,61,"FAUQUIER",269.68,492,204.5,107.14
2008,69,"FREDERICK",301.9,460,90,44.09
2008,17,"BATH",224.08,538,7,4.01
2008,3,"ALBEMARLE",213.74,548,116.5,67.98
2008,51,"DICKENSON",338,424,12,5.42
2008,49,"CUMBERLAND",208.91,553,23,13.54
2008,85,"HANOVER",214.04,548,213,124.3
2008,81,"GREENSVILLE",192.13,570,5,3.03
2008,5,"ALLEGHANY",248.86,513,9.5,5.19
2008,165,"ROCKINGHAM",306.22,456,261.5,126.98
2008,171,"SHENANDOAH",302.56,459,105,51.32
2008,145,"POWHATAN",201.9,560,18,10.73
2008,175,"SOUTHAMPTON",216.19,546,21,12.21
2008,139,"PAGE",308.19,454,19.5,9.43
2008,133,"NORTHUMBERLAND",296.89,465,2,0.99
2008,75,"GOOCHLAND",219.82,542,21.5,12.41
2008,65,"FLUVANNA",249.16,513,27,14.75
2008,95,"JAMES CITY",151.34,611,15.5,10.08
2008,63,"FLOYD",201.28,561,127.5,76.17
2008,149,"PRINCE GEORGE",183.35,579,7,4.32
2008,77,"GRAYSON",264.58,497,41,21.7
2008,131,"NORTHAMPTON",262.67,499,45.5,24.18
2008,137,"ORANGE",254.48,508,45,24.34
2008,79,"GREENE",260.29,502,37,19.78
2008,195,"WISE",338.77,423,11,4.95
2008,183,"SUSSEX",194.2,568,15.5,9.38
2008,87,"HENRICO",211.41,551,26.5,15.55
2008,101,"KING WILLIAM",266.09,496,15.5,8.19
2008,103,"LANCASTER",259.26,503,12,6.43
2008,187,"WARREN",273.59,488,35,18.19
2008,9,"AMHERST",202.94,559,27,16.07
2008,155,"PULASKI",281.66,480,18.5,9.46
2008,19,"BEDFORD",207.05,555,52.5,31.03
2008,173,"SMYTH",346.82,415,33,14.58
2009,67,"FRANKLIN",275.36,487,123.5,64.05
2009,37,"CHARLOTTE",353.02,409,115,50.09
2009,99,"KING GEORGE",304.19,458,21,10.24
2009,135,"NOTTOWAY",296.72,465,38,18.82
2009,25,"BRUNSWICK",357.58,404,33,14.2
2009,161,"ROANOKE",383.11,379,62,25.02
2009,36,"CHARLES CITY",272.96,489,13.5,7.03
2009,550,"CHESAPEAKE CITY",395.22,367,62.5,24.43
2009,11,"APPOMATTOX",388.28,374,33.5,13.34
2009,73,"GLOUCESTER",409.79,352,48.5,18.18
2009,47,"CULPEPER",326.2,436,89,41.32
2009,105,"LEE",358.59,403,52,22.32
2009,193,"WESTMORELAND",353.46,409,58,25.26
2009,143,"PITTSYLVANIA",318.75,443,131,61.8
2009,117,"MECKLENBURG",297.95,464,83.5,41.26
2009,121,"MONTGOMERY",315.29,447,37.5,17.85
2009,89,"HENRY",290.43,472,26.5,13.32
2009,93,"ISLE OF WIGHT",302.91,459,25,12.22
2009,169,"SCOTT",359.34,403,53.5,22.96
2009,167,"RUSSELL",373.14,389,28,11.6
2009,59,"FAIRFAX",272.48,490,55,28.7
2009,31,"CAMPBELL",370.61,391,102.5,42.68
2009,157,"RAPPAHANNOCK",294.51,467,58.5,29.09
2009,23,"BOTETOURT",359.2,403,25,10.73
2009,197,"WYTHE",353.32,409,37,16.11
2009,43,"CLARKE",286.4,476,47,23.82
2009,83,"HALIFAX",317.43,445,102.5,48.57
2009,800,"SUFFOLK CITY",317.09,445,65,30.8
2009,113,"MADISON",336.7,425,53,23.99
2009,163,"ROCKBRIDGE",313.28,449,50.5,24.15
2009,810,"VIRGINIA BEACH CITY",359.14,403,47.5,20.38
2009,15,"AUGUSTA",249.1,513,189.5,103.52
2009,45,"CRAIG",370.48,392,14.5,6.05
2009,181,"SURRY",291.26,471,26,13.04
2009,159,"RICHMOND",385.54,376,16,6.41
2009,153,"PRINCE WILLIAM",241.68,520,51.5,28.52
2009,199,"YORK",372.97,389,14,5.8
2009,7,"AMELIA",287.05,475,41.5,20.99
2009,119,"MIDDLESEX",428.02,334,17,6.05
2009,109,"LOUISA",317.8,444,71,33.57
2009,111,"LUNENBURG",315.09,447,34,16.18
2009,115,"MATHEWS",433.99,328,13.5,4.72
2009,191,"WASHINGTON",435.23,327,106,36.91
2009,29,"BUCKINGHAM",351.38,411,17.5,7.66
2009,33,"CAROLINE",300.24,462,25,12.3
2009,53,"DINWIDDIE",262.22,500,40,21.3
2009,141,"PATRICK",325.59,436,57.5,26.7
2009,177,"SPOTSYLVANIA",334.73,427,34.5,15.69
2009,35,"CARROLL",350.82,411,25,10.94
2009,57,"ESSEX",342.51,419,21,9.37
2009,41,"CHESTERFIELD",253.34,509,31.5,17.07
2009,125,"NELSON",315.1,447,81.5,38.79
2009,147,"PRINCE EDWARD",342.61,419,30,13.39
2009,97,"KING AND QUEEN",347.98,414,27.5,12.12
2009,179,"STAFFORD",303.82,458,16.5,8.05
2009,107,"LOUDOUN",289.05,473,210,105.77
2009,71,"GILES",326.97,435,27.5,12.74
2009,1,"ACCOMACK",353.63,408,51.5,22.37
2009,127,"NEW KENT",320.2,442,15,7.06
2009,185,"TAZEWELL",385.26,377,29,11.64
2009,21,"BLAND",325.5,436,10,4.64
2009,91,"HIGHLAND",230.98,531,9,5.09
2009,61,"FAUQUIER",278.65,483,204.5,105.18
2009,69,"FREDERICK",278.57,483,90,46.29
2009,17,"BATH",272.97,489,7,3.65
2009,3,"ALBEMARLE",310.06,452,116.5,56.07
2009,51,"DICKENSON",382.97,379,12,4.84
2009,49,"CUMBERLAND",326.41,436,23,10.68
2009,85,"HANOVER",266.76,495,213,112.27
2009,81,"GREENSVILLE",295.19,467,5,2.49
2009,5,"ALLEGHANY",318.27,444,9.5,4.49
2009,165,"ROCKINGHAM",240,522,261.5,145.36
2009,171,"SHENANDOAH",288.14,474,105,53
2009,145,"POWHATAN",272.1,490,18,9.39
2009,175,"SOUTHAMPTON",310.59,451,21,10.09
2009,139,"PAGE",246.53,515,19.5,10.69
2009,133,"NORTHUMBERLAND",431.05,331,2,0.7
2009,75,"GOOCHLAND",275.14,487,21.5,11.15
2009,65,"FLUVANNA",314.36,448,27,12.88
2009,95,"JAMES CITY",295.76,466,15.5,7.69
2009,63,"FLOYD",349.65,412,127.5,55.94
2009,149,"PRINCE GEORGE",263.2,499,7,3.72
2009,77,"GRAYSON",310.9,451,41,19.69
2009,131,"NORTHAMPTON",320.06,442,45.5,21.42
2009,137,"ORANGE",333.14,429,45,20.56
2009,79,"GREENE",291.88,470,37,18.52
2009,195,"WISE",402.86,359,11,4.21
2009,183,"SUSSEX",296.74,465,15.5,7.67
2009,87,"HENRICO",271.73,490,26.5,13.83
2009,101,"KING WILLIAM",301.6,460,15.5,7.59
2009,103,"LANCASTER",431.32,331,12,4.23
2009,187,"WARREN",246.8,515,35,19.19
2009,9,"AMHERST",363.68,398,27,11.44
2009,155,"PULASKI",309.7,452,18.5,8.9
2009,19,"BEDFORD",323.51,438,52.5,24.49
2009,173,"SMYTH",417.49,345,33,12.12
2010,67,"FRANKLIN",147.3,615,123.5,80.88
2010,37,"CHARLOTTE",250.99,511,115,62.58
2010,99,"KING GEORGE",243.61,518,21,11.58
2010,135,"NOTTOWAY",196.82,565,38,22.86
2010,25,"BRUNSWICK",195.36,567,33,19.92
2010,161,"ROANOKE",298.44,464,62,30.63
2010,36,"CHARLES CITY",202,560,13.5,8.05
2010,550,"CHESAPEAKE CITY",318.33,444,62.5,29.55
2010,11,"APPOMATTOX",283.06,479,33.5,17.09
2010,73,"GLOUCESTER",270.89,491,48.5,25.36
2010,47,"CULPEPER",257.38,505,89,47.86
2010,105,"LEE",332.46,430,52,23.81
2010,193,"WESTMORELAND",246.44,516,58,31.87
2010,143,"PITTSYLVANIA",273.32,489,131,68.21
2010,117,"MECKLENBURG",228.23,534,83.5,47.48
2010,121,"MONTGOMERY",263.47,499,37.5,19.93
2010,89,"HENRY",281.88,480,26.5,13.55
2010,93,"ISLE OF WIGHT",171.52,590,25,15.71
2010,169,"SCOTT",292.99,469,53.5,26.72
2010,167,"RUSSELL",394.54,367,28,10.94
2010,59,"FAIRFAX",264.08,498,55,29.17
2010,31,"CAMPBELL",281.98,480,102.5,52.39
2010,157,"RAPPAHANNOCK",249.88,512,58.5,31.89
2010,23,"BOTETOURT",255.57,506,25,13.47
2010,197,"WYTHE",311.04,451,37,17.77
2010,43,"CLARKE",163.75,598,47,29.93
2010,83,"HALIFAX",243.43,519,102.5,56.65
2010,800,"SUFFOLK CITY",190.67,571,65,39.52
2010,113,"MADISON",275.35,487,53,27.49
2010,163,"ROCKBRIDGE",255.29,507,50.5,27.26
2010,810,"VIRGINIA BEACH CITY",320.88,441,47.5,22.31
2010,15,"AUGUSTA",237.91,524,189.5,105.74
2010,45,"CRAIG",280.82,481,14.5,7.43
2010,181,"SURRY",162.58,599,26,16.58
2010,159,"RICHMOND",250.45,512,16,8.72
2010,153,"PRINCE WILLIAM",251.84,510,51.5,27.97
2010,199,"YORK",190.77,571,14,8.51
2010,7,"AMELIA",228.73,533,41.5,23.55
2010,119,"MIDDLESEX",263.57,498,17,9.02
2010,109,"LOUISA",244.47,518,71,39.16
2010,111,"LUNENBURG",224.62,537,34,19.44
2010,115,"MATHEWS",260.16,502,13.5,7.22
2010,191,"WASHINGTON",359.6,402,106,45.38
2010,29,"BUCKINGHAM",223.76,538,17.5,10.03
2010,33,"CAROLINE",232.06,530,25,14.11
2010,53,"DINWIDDIE",207.01,555,40,23.64
2010,141,"PATRICK",364.26,398,57.5,24.37
2010,177,"SPOTSYLVANIA",221.95,540,34.5,19.84
2010,35,"CARROLL",316.08,446,25,11.87
2010,57,"ESSEX",222.59,539,21,12.05
2010,41,"CHESTERFIELD",243.47,519,31.5,17.41
2010,125,"NELSON",262.23,500,81.5,43.39
2010,147,"PRINCE EDWARD",256.76,505,30,16.13
2010,97,"KING AND QUEEN",229.68,532,27.5,15.58
2010,179,"STAFFORD",291.27,471,16.5,8.28
2010,107,"LOUDOUN",208.15,554,210,123.89
2010,71,"GILES",265.56,496,27.5,14.52
2010,1,"ACCOMACK",211.82,550,51.5,30.16
2010,127,"NEW KENT",224.12,538,15,8.59
2010,185,"TAZEWELL",406.49,356,29,10.99
2010,21,"BLAND",318.37,444,10,4.73
2010,91,"HIGHLAND",240.46,522,9,5
2010,61,"FAUQUIER",228.57,533,204.5,116.07
2010,69,"FREDERICK",156.25,606,90,58.08
2010,17,"BATH",208.78,553,7,4.12
2010,3,"ALBEMARLE",238.92,523,116.5,64.88
2010,51,"DICKENSON",372.01,390,12,4.98
2010,49,"CUMBERLAND",168.48,594,23,14.55
2010,85,"HANOVER",201.06,561,213,127.24
2010,81,"GREENSVILLE",177.07,585,5,3.11
2010,5,"ALLEGHANY",229.47,533,9.5,5.39
2010,165,"ROCKINGHAM",220.27,542,261.5,150.93
2010,171,"SHENANDOAH",170.26,592,105,66.19
2010,145,"POWHATAN",243.45,519,18,9.95
2010,175,"SOUTHAMPTON",185.73,576,21,12.88
2010,139,"PAGE",245.5,516,19.5,10.71
2010,133,"NORTHUMBERLAND",290.34,472,2,1.01
2010,75,"GOOCHLAND",266.12,496,21.5,11.36
2010,65,"FLUVANNA",198.67,563,27,16.19
2010,95,"JAMES CITY",223.85,538,15.5,8.88
2010,63,"FLOYD",264.53,497,127.5,67.48
2010,149,"PRINCE GEORGE",221.35,541,7,4.03
2010,77,"GRAYSON",304.54,457,41,19.95
2010,131,"NORTHAMPTON",207.39,555,45.5,26.89
2010,137,"ORANGE",211,551,45,26.4
2010,79,"GREENE",226.01,536,37,21.12
2010,195,"WISE",368.77,393,11,4.6
2010,183,"SUSSEX",192.57,569,15.5,9.39
2010,87,"HENRICO",201.22,561,26.5,15.83
2010,101,"KING WILLIAM",187.55,574,15.5,9.47
2010,103,"LANCASTER",286.17,476,12,6.08
2010,187,"WARREN",184.06,578,35,21.54
2010,9,"AMHERST",267.61,494,27,14.2
2010,155,"PULASKI",244.91,517,18.5,10.18
2010,19,"BEDFORD",270.6,491,52.5,27.45
2010,173,"SMYTH",357.54,404,33,14.2
2011,67,"FRANKLIN",292.65,469,123.5,61.68
2011,37,"CHARLOTTE",309.26,453,115,55.47
2011,99,"KING GEORGE",376.16,386,21,8.63
2011,135,"NOTTOWAY",314.49,448,38,18.13
2011,25,"BRUNSWICK",307.42,455,33,15.99
2011,161,"ROANOKE",242.4,520,62,34.33
2011,36,"CHARLES CITY",298.32,464,13.5,6.67
2011,550,"CHESAPEAKE CITY",297.77,464,62.5,30.88
2011,11,"APPOMATTOX",306.02,456,33.5,16.27
2011,73,"GLOUCESTER",345.75,416,48.5,21.48
2011,47,"CULPEPER",294.4,468,89,44.35
2011,105,"LEE",288.61,473,52,26.19
2011,193,"WESTMORELAND",387.91,374,58,23.1
2011,143,"PITTSYLVANIA",183.95,578,131,80.63
2011,117,"MECKLENBURG",268.24,494,83.5,43.92
2011,121,"MONTGOMERY",178.69,583,37.5,23.28
2011,89,"HENRY",151.3,611,26.5,17.24
2011,93,"ISLE OF WIGHT",318.37,444,25,11.82
2011,169,"SCOTT",297.96,464,53.5,26.43
2011,167,"RUSSELL",322.8,439,28,13.09
2011,59,"FAIRFAX",241.51,520,55,30.46
2011,31,"CAMPBELL",279.96,482,102.5,52.61
2011,157,"RAPPAHANNOCK",212.86,549,58.5,34.2
2011,23,"BOTETOURT",215.29,547,25,14.56
2011,197,"WYTHE",215.78,546,37,21.51
2011,43,"CLARKE",182.91,579,47,28.98
2011,83,"HALIFAX",214.88,547,102.5,59.7
2011,800,"SUFFOLK CITY",292.05,470,65,32.53
2011,113,"MADISON",270.28,492,53,27.77
2011,163,"ROCKBRIDGE",235.29,527,50.5,28.34
2011,810,"VIRGINIA BEACH CITY",289.37,473,47.5,23.92
2011,15,"AUGUSTA",231.8,530,189.5,106.95
2011,45,"CRAIG",155.11,607,14.5,9.37
2011,181,"SURRY",329.97,432,26,11.96
2011,159,"RICHMOND",384.81,377,16,6.42
2011,153,"PRINCE WILLIAM",230.35,532,51.5,29.18
2011,199,"YORK",390.93,371,14,5.53
2011,7,"AMELIA",317.95,444,41.5,19.62
2011,119,"MIDDLESEX",364.21,398,17,7.2
2011,109,"LOUISA",302.05,460,71,34.78
2011,111,"LUNENBURG",332.06,430,34,15.57
2011,115,"MATHEWS",354.44,408,13.5,5.87
2011,191,"WASHINGTON",260.22,502,106,56.66
2011,29,"BUCKINGHAM",359.99,402,17.5,7.49
2011,33,"CAROLINE",374.46,388,25,10.33
2011,53,"DINWIDDIE",375.38,387,40,16.48
2011,141,"PATRICK",199.65,562,57.5,34.41
2011,177,"SPOTSYLVANIA",300.74,461,34.5,16.94
2011,35,"CARROLL",223.14,539,25,14.35
2011,57,"ESSEX",428.03,334,21,7.47
2011,41,"CHESTERFIELD",297.79,464,31.5,15.56
2011,125,"NELSON",271.1,491,81.5,42.61
2011,147,"PRINCE EDWARD",290.22,472,30,15.08
2011,97,"KING AND QUEEN",405.11,357,27.5,10.45
2011,179,"STAFFORD",299.92,462,16.5,8.12
2011,107,"LOUDOUN",236.35,526,210,117.62
2011,71,"GILES",179.3,583,27.5,17.07
2011,1,"ACCOMACK",311.1,451,51.5,24.73
2011,127,"NEW KENT",311.74,450,15,7.19
2011,185,"TAZEWELL",246.94,515,29,15.9
2011,21,"BLAND",185.78,576,10,6.13
2011,91,"HIGHLAND",238.77,523,9,5.01
2011,61,"FAUQUIER",234.62,527,204.5,114.76
2011,69,"FREDERICK",193.56,568,90,54.44
2011,17,"BATH",209.09,553,7,4.12
2011,3,"ALBEMARLE",278.83,483,116.5,59.92
2011,51,"DICKENSON",364.13,398,12,5.09
2011,49,"CUMBERLAND",337.5,424,23,10.38
2011,85,"HANOVER",371.57,390,213,88.46
2011,81,"GREENSVILLE",335.93,426,5,2.27
2011,5,"ALLEGHANY",190.21,572,9.5,5.79
2011,165,"ROCKINGHAM",235.7,526,261.5,146.47
2011,171,"SHENANDOAH",215.66,546,105,61.05
2011,145,"POWHATAN",313.48,449,18,8.61
2011,175,"SOUTHAMPTON",335.61,426,21,9.53
2011,139,"PAGE",245.36,517,19.5,10.74
2011,133,"NORTHUMBERLAND",363.23,399,2,0.85
2011,75,"GOOCHLAND",290.34,472,21.5,10.81
2011,65,"FLUVANNA",339.63,422,27,12.13
2011,95,"JAMES CITY",347.91,414,15.5,6.83
2011,63,"FLOYD",136.02,626,127.5,84.99
2011,149,"PRINCE GEORGE",349.84,412,7,3.07
2011,77,"GRAYSON",255.45,507,41,22.14
2011,131,"NORTHAMPTON",303.37,459,45.5,22.24
2011,137,"ORANGE",296.94,465,45,22.28
2011,79,"GREENE",263.76,498,37,19.62
2011,195,"WISE",388.31,374,11,4.38
2011,183,"SUSSEX",374.64,387,15.5,6.39
2011,87,"HENRICO",304.71,457,26.5,12.9
2011,101,"KING WILLIAM",429.71,332,15.5,5.48
2011,103,"LANCASTER",363.86,398,12,5.09
2011,187,"WARREN",203.05,559,35,20.83
2011,9,"AMHERST",282.29,480,27,13.8
2011,155,"PULASKI",172.07,590,18.5,11.62
2011,19,"BEDFORD",248.64,513,52.5,28.68
2011,173,"SMYTH",246.58,515,33,18.1
2012,67,"FRANKLIN",436.18,326,123.5,42.87
2012,37,"CHARLOTTE",272.3,490,115,60.01
2012,99,"KING GEORGE",218.14,544,21,12.16
2012,135,"NOTTOWAY",245.45,517,38,20.92
2012,25,"BRUNSWICK",366.46,396,33,13.92
2012,161,"ROANOKE",292.6,469,62,30.96
2012,36,"CHARLES CITY",300.37,462,13.5,6.64
2012,550,"CHESAPEAKE CITY",339.65,422,62.5,28.09
2012,11,"APPOMATTOX",269.17,493,33.5,17.59
2012,73,"GLOUCESTER",286.32,476,48.5,24.58
2012,47,"CULPEPER",279.19,483,89,45.78
2012,105,"LEE",327.51,434,52,24.03
2012,193,"WESTMORELAND",234.47,528,58,32.61
2012,143,"PITTSYLVANIA",256.64,505,131,70.45
2012,117,"MECKLENBURG",394.32,368,83.5,32.72
2012,121,"MONTGOMERY",217.7,544,37.5,21.72
2012,89,"HENRY",246.69,515,26.5,14.53
2012,93,"ISLE OF WIGHT",399.4,363,25,9.66
2012,169,"SCOTT",357.26,405,53.5,23.07
2012,167,"RUSSELL",334.45,428,28,12.76
2012,59,"FAIRFAX",182.77,579,55,33.91
2012,31,"CAMPBELL",256.6,505,102.5,55.12
2012,157,"RAPPAHANNOCK",286.53,475,58.5,29.59
2012,23,"BOTETOURT",274.14,488,25,12.99
2012,197,"WYTHE",253.77,508,37,20.02
2012,43,"CLARKE",243.06,519,47,25.98
2012,83,"HALIFAX",265.24,497,102.5,54.25
2012,800,"SUFFOLK CITY",418.81,343,65,23.74
2012,113,"MADISON",332.64,429,53,24.21
2012,163,"ROCKBRIDGE",325.1,437,50.5,23.5
2012,810,"VIRGINIA BEACH CITY",314.3,448,47.5,22.66
2012,15,"AUGUSTA",332.94,429,189.5,86.57
2012,45,"CRAIG",230.71,531,14.5,8.2
2012,181,"SURRY",351.19,411,26,11.38
2012,159,"RICHMOND",244.79,517,16,8.81
2012,153,"PRINCE WILLIAM",219.82,542,51.5,29.72
2012,199,"YORK",345.53,416,14,6.2
2012,7,"AMELIA",195.37,567,41.5,25.06
2012,119,"MIDDLESEX",285.59,476,17,8.62
2012,109,"LOUISA",304.24,458,71,34.63
2012,111,"LUNENBURG",319.14,443,34,16.04
2012,115,"MATHEWS",313.66,448,13.5,6.44
2012,191,"WASHINGTON",306.03,456,106,51.47
2012,29,"BUCKINGHAM",269.99,492,17.5,9.17
2012,33,"CAROLINE",225.94,536,25,14.27
2012,53,"DINWIDDIE",251.02,511,40,21.77
2012,141,"PATRICK",304.98,457,57.5,27.98
2012,177,"SPOTSYLVANIA",216.38,546,34.5,20.06
2012,35,"CARROLL",259.57,502,25,13.36
2012,57,"ESSEX",236.71,525,21,11.74
2012,41,"CHESTERFIELD",240.09,522,31.5,17.51
2012,125,"NELSON",284.05,478,81.5,41.48
2012,147,"PRINCE EDWARD",232.14,530,30,16.93
2012,97,"KING AND QUEEN",236.84,525,27.5,15.37
2012,179,"STAFFORD",218.84,543,16.5,9.54
2012,107,"LOUDOUN",223.71,538,210,120.31
2012,71,"GILES",222.16,540,27.5,15.81
2012,1,"ACCOMACK",315.02,447,51.5,24.51
2012,127,"NEW KENT",312.5,450,15,7.19
2012,185,"TAZEWELL",302.98,459,29,14.17
2012,21,"BLAND",247.75,514,10,5.47
2012,91,"HIGHLAND",296.95,465,9,4.46
2012,61,"FAUQUIER",258.57,503,204.5,109.54
2012,69,"FREDERICK",277.36,485,90,46.48
2012,17,"BATH",287.21,475,7,3.54
2012,3,"ALBEMARLE",292.78,469,116.5,58.18
2012,51,"DICKENSON",308.27,454,12,5.8
2012,49,"CUMBERLAND",255.47,507,23,12.42
2012,85,"HANOVER",252.59,509,213,115.45
2012,81,"GREENSVILLE",384.09,378,5,2.01
2012,5,"ALLEGHANY",271.22,491,9.5,4.97
2012,165,"ROCKINGHAM",331.01,431,261.5,120.02
2012,171,"SHENANDOAH",315.7,446,105,49.87
2012,145,"POWHATAN",262.98,499,18,9.56
2012,175,"SOUTHAMPTON",408.28,354,21,7.92
2012,139,"PAGE",286.71,475,19.5,9.86
2012,133,"NORTHUMBERLAND",283.85,478,2,1.02
