"Year","County_Code","name","PPT","Irrigation","Median_UnderTh","Unreported_Irrigation_based"
2003,31,"CAMPBELL",435.97,326,102.5,35.58
2003,157,"RAPPAHANNOCK",462.52,299,58.5,18.63
2003,23,"BOTETOURT",462.08,300,25,7.99
2003,197,"WYTHE",419.88,342,37,13.47
2003,43,"CLARKE",422.72,339,47,16.97
2003,83,"HALIFAX",465.17,297,102.5,32.42
2003,800,"SUFFOLK CITY",344.61,417,65,28.86
2003,113,"MADISON",476.75,285,53,16.08
2003,163,"ROCKBRIDGE",427.69,334,50.5,17.96
2003,810,"VIRGINIA BEACH CITY",426.34,336,47.5,17
2003,15,"AUGUSTA",447,315,189.5,63.56
2003,45,"CRAIG",427.08,335,14.5,5.17
2003,181,"SURRY",413.95,348,26,9.63
2003,159,"RICHMOND",433,329,16,5.61
2003,153,"PRINCE WILLIAM",375.98,386,51.5,21.17
2003,199,"YORK",456.99,305,14,4.55
2003,7,"AMELIA",404.26,358,41.5,15.82
2003,119,"MIDDLESEX",458.62,303,17,5.49
2003,109,"LOUISA",403.25,359,71,27.14
2003,111,"LUNENBURG",415.3,347,34,12.56
2003,115,"MATHEWS",450.97,311,13.5,4.47
2003,191,"WASHINGTON",508.84,253,106,28.56
2003,29,"BUCKINGHAM",361.27,401,17.5,7.47
2003,33,"CAROLINE",378.49,384,25,10.22
2003,53,"DINWIDDIE",437.53,324,40,13.8
2003,141,"PATRICK",610.09,152,57.5,9.31
2003,177,"SPOTSYLVANIA",317.17,445,34.5,16.35
2003,35,"CARROLL",557.96,204,25,5.43
2003,57,"ESSEX",403.58,358,21,8.01
2003,41,"CHESTERFIELD",414.74,347,31.5,11.64
2003,125,"NELSON",510.25,252,81.5,21.87
2003,147,"PRINCE EDWARD",386.74,375,30,11.98
2003,97,"KING AND QUEEN",457.34,305,27.5,8.93
2003,179,"STAFFORD",318.74,443,16.5,7.78
2003,107,"LOUDOUN",422.64,339,210,75.81
2003,71,"GILES",444.68,317,27.5,9.28
2003,1,"ACCOMACK",384.95,377,51.5,20.67
2003,127,"NEW KENT",461.13,301,15,4.81
2003,185,"TAZEWELL",434.16,328,29,10.13
2003,21,"BLAND",386.02,376,10,4
2003,91,"HIGHLAND",376.33,386,9,3.7
2003,61,"FAUQUIER",426.46,336,204.5,73.17
2003,69,"FREDERICK",379.59,382,90,36.61
2003,17,"BATH",397.41,365,7,2.72
2003,3,"ALBEMARLE",471.21,291,116.5,36.1
2003,51,"DICKENSON",435.47,327,12,4.18
2003,49,"CUMBERLAND",362.77,399,23,9.77
2003,85,"HANOVER",471.1,291,213,66
2003,81,"GREENSVILLE",347.17,415,5,2.21
2003,5,"ALLEGHANY",368.17,394,9.5,3.99
2003,165,"ROCKINGHAM",408.59,353,261.5,98.3
2003,171,"SHENANDOAH",416.07,346,105,38.69
2003,145,"POWHATAN",402.54,359,18,6.88
2003,175,"SOUTHAMPTON",371.6,390,21,8.72
2003,139,"PAGE",394.39,368,19.5,7.64
2003,133,"NORTHUMBERLAND",483.68,278,2,0.59
2003,75,"GOOCHLAND",365.12,397,21.5,9.09
2003,65,"FLUVANNA",342.75,419,27,12.05
2003,95,"JAMES CITY",427.09,335,15.5,5.53
2003,63,"FLOYD",469.37,293,127.5,39.78
2003,149,"PRINCE GEORGE",433.07,329,7,2.45
2003,77,"GRAYSON",468.35,294,41,12.84
2003,131,"NORTHAMPTON",422.18,340,45.5,16.47
2003,137,"ORANGE",367.23,395,45,18.93
2003,79,"GREENE",437.56,324,37,12.77
2003,195,"WISE",444.17,318,11,3.72
2003,183,"SUSSEX",403.11,359,15.5,5.93
2003,87,"HENRICO",467.83,294,26.5,8.3
2003,101,"KING WILLIAM",455.78,306,15.5,5.05
2003,103,"LANCASTER",447.71,314,12,4.01
2003,187,"WARREN",399.74,362,35,13.49
2003,9,"AMHERST",488.43,274,27,7.88
2003,155,"PULASKI",399.44,363,18.5,7.15
2003,19,"BEDFORD",505.41,257,52.5,14.37
2003,173,"SMYTH",487.53,274,33,9.63
2004,67,"FRANKLIN",440.7,321,123.5,42.21
2004,37,"CHARLOTTE",455.8,306,115,37.47
2004,99,"KING GEORGE",382.62,379,21,8.48
2004,135,"NOTTOWAY",453.91,308,38,12.46
2004,25,"BRUNSWICK",476.98,285,33,10.02
2004,161,"ROANOKE",371.41,391,62,25.81
2004,36,"CHARLES CITY",549.93,212,13.5,3.05
2004,550,"CHESAPEAKE CITY",546.15,216,62.5,14.38
2004,11,"APPOMATTOX",364.96,397,33.5,14.16
2004,73,"GLOUCESTER",536.93,225,48.5,11.62
2004,47,"CULPEPER",325.13,437,89,41.42
2004,105,"LEE",283.01,479,52,26.52
2004,193,"WESTMORELAND",493.34,269,58,16.61
2004,143,"PITTSYLVANIA",405.29,357,131,49.8
2004,117,"MECKLENBURG",449.69,312,83.5,27.74
2004,121,"MONTGOMERY",286.95,475,37.5,18.97
2004,89,"HENRY",427.37,335,26.5,9.45
2004,93,"ISLE OF WIGHT",530.98,231,25,6.15
2004,169,"SCOTT",320.1,442,53.5,25.18
2004,167,"RUSSELL",436.91,325,28,9.69
2004,59,"FAIRFAX",340.51,421,55,24.66
2004,31,"CAMPBELL",375.88,386,102.5,42.13
2004,157,"RAPPAHANNOCK",286.05,476,58.5,29.65
2004,23,"BOTETOURT",282.54,479,25,12.75
2004,197,"WYTHE",339.19,423,37,16.67
2004,43,"CLARKE",278.04,484,47,24.22
2004,83,"HALIFAX",436.91,325,102.5,35.47
2004,800,"SUFFOLK CITY",508.08,254,65,17.58
2004,113,"MADISON",319.83,442,53,24.95
2004,163,"ROCKBRIDGE",319.29,443,50.5,23.82
2004,810,"VIRGINIA BEACH CITY",555.58,206,47.5,10.42
2004,15,"AUGUSTA",295.79,466,189.5,94.03
2004,45,"CRAIG",302.67,459,14.5,7.09
2004,181,"SURRY",542.84,219,26,6.06
2004,159,"RICHMOND",527.94,234,16,3.99
2004,153,"PRINCE WILLIAM",316.56,445,51.5,24.4
2004,199,"YORK",559.51,202,14,3.01
2004,7,"AMELIA",466.8,295,41.5,13.04
2004,119,"MIDDLESEX",502.45,260,17,4.71
2004,109,"LOUISA",432.91,329,71,24.87
2004,111,"LUNENBURG",458.68,303,34,10.97
