"Year","County_Code","name","PPT","Irrigation","Max_Tot_Area","All_Irrigation","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Large_Farm_unreported","C_tot_lg"
2002,67,"FRANKLIN",273.46,489,1126,586.33,126.01,414.587,11.81,448.51,1.08182359794205
2002,37,"CHARLOTTE",271.47,491,1454,760.22,105.62,116.545,0,654.6,5.61671457376979
2002,99,"KING GEORGE",194.17,568,672,406.45,20.56,761.1532,0,385.89,0.506980723460139
2002,135,"NOTTOWAY",215.41,547,457,266.19,32.04,214.159,0,234.15,1.0933465322494
2002,25,"BRUNSWICK",280.95,481,2115,1083.3,64.54,731.753,0,1018.76,1.39221841249711
2002,161,"ROANOKE",255.62,506,96,51.73,44.18,7430.9603,20.7,-13.15,-0.0017696232342945
2002,36,"CHARLES CITY",162.91,599,1435,915.32,13.39,291.196,268.67,633.26,2.17468646547343
2002,550,"CHESAPEAKE CITY",266.87,495,314,165.51,99.62,1681.9399,0,65.89,0.0391750026264315
2002,11,"APPOMATTOX",200.94,561,508,303.47,48.39,87.302,0,255.08,2.92181164234496
2002,73,"GLOUCESTER",198.37,564,98,58.86,34.83,445.9206,0,24.03,0.0538885173728238
2002,47,"CULPEPER",214.71,547,1266,737.42,97.27,598.094,4.11,636.04,1.06344487655787
2002,105,"LEE",232.23,530,1374,775.45,115.13,597.42,0,660.32,1.10528606340598
2002,193,"WESTMORELAND",229.79,532,1673,947.77,69.11,663.730732,311.381,567.279,0.854682437696738
2002,143,"PITTSYLVANIA",237,525,5606,3134.05,117.96,1800.3949,86.068,2930.022,1.62743295929132
2002,117,"MECKLENBURG",244.82,517,4163,2291.87,129.93,1132.005,5.59,2156.35,1.90489441301054
2002,121,"MONTGOMERY",189.56,572,384,233.89,24.97,8396.0889,17,191.92,0.0228582620176878
2002,89,"HENRY",230.12,532,525,297.42,22.66,1815.299008,0,274.76,0.151357984987121
2002,93,"ISLE OF WIGHT",246.5,516,934,513.2,24.18,16964.964678,97.5,391.52,0.0230781500245455
2002,169,"SCOTT",281.04,481,637,326.27,92.2,380.623,0,234.07,0.614965464514756
2002,167,"RUSSELL",327.72,434,251,116,54.53,1644.2773,0,61.47,0.0373842052067495
2002,59,"FAIRFAX",185.45,577,101,62.06,62.06,31715.8939,14.599,-14.599,-0.000460305487401066
2002,31,"CAMPBELL",231.63,530,1328,749.49,73.37,2215.3349,0,676.12,0.305199904538136
2002,157,"RAPPAHANNOCK",222.83,539,335,192.28,54.53,14.576,0,137.75,9.45046652030736
2002,23,"BOTETOURT",219.1,543,253,146.29,44.52,2906.553869,0,101.77,0.0350139734499447
2002,197,"WYTHE",254.55,507,1061,572.82,29.69,1596.5893,0,543.13,0.340181410460411
2002,43,"CLARKE",257.98,504,514,275.86,50.45,259.376083,42.8,182.61,0.704035614571294
2002,83,"HALIFAX",253.93,508,2617,1415.67,120.63,772.2776,26.816,1268.224,1.64218669556129
2002,800,"SUFFOLK CITY",262.99,499,1167,620.1,57.92,35591.817279,208.64,353.54,0.00993318203531565
2002,113,"MADISON",261.94,500,333,177.3,38.34,39.538,0,138.96,3.5145935555668
2002,163,"ROCKBRIDGE",182.33,580,700,432.33,36.44,1333.348511,0,395.89,0.296914120152342
2002,810,"VIRGINIA BEACH CITY",228.38,534,431,245.08,36.96,10522.4833922,0,208.12,0.0197786009483534
2002,15,"AUGUSTA",183.24,579,3813,2350.93,122.69,4341.0051,461.554,1766.686,0.406976255337733
2002,45,"CRAIG",252.17,510,130,70.6,16.29,862.29,0,54.31,0.0629834510431525
2002,181,"SURRY",239.91,522,1472,818.22,36.13,136.30141,53.203,728.887,5.34761159110533
2002,159,"RICHMOND",189.46,573,243,148.27,12.81,190.5196,0,135.46,0.711002962424863
