"Year","name","PPT","Irrigation","County_Code","parm_UnderTh","Unreported_Irrigation_based"
2002,"FRANKLIN",273.46,235,67,123.5,30.9
2002,"CHARLOTTE",271.47,237,37,115,29.02
2002,"KING GEORGE",194.17,314,99,21,7.02
2002,"NOTTOWAY",215.41,293,135,38,11.86
2002,"BRUNSWICK",280.95,227,25,33,7.98
2002,"ROANOKE",255.62,252,161,62,16.64
2002,"CHARLES CITY",162.91,345,36,13.5,4.96
2002,"CHESAPEAKE CITY",266.87,241,550,62.5,16.04
2002,"APPOMATTOX",200.94,307,11,33.5,10.95
2002,"GLOUCESTER",198.37,310,73,48.5,16.01
2002,"CULPEPER",214.71,293,47,89,27.77
2002,"LEE",232.23,276,105,52,15.28
2002,"WESTMORELAND",229.79,278,193,58,17.17
2002,"PITTSYLVANIA",237,271,143,131,37.8
2002,"MECKLENBURG",244.82,263,117,83.5,23.38
2002,"MONTGOMERY",189.56,318,121,37.5,12.7
2002,"HENRY",230.12,278,89,26.5,7.84
2002,"ISLE OF WIGHT",246.5,262,93,25,6.97
2002,"SCOTT",281.04,227,169,53.5,12.93
2002,"RUSSELL",327.72,180,167,28,5.37
2002,"FAIRFAX",185.45,323,59,55,18.92
2002,"CAMPBELL",231.63,276,31,102.5,30.12
2002,"RAPPAHANNOCK",222.83,285,157,58.5,17.75
2002,"BOTETOURT",219.1,289,23,25,7.69
2002,"WYTHE",254.55,253,197,37,9.97
2002,"CLARKE",257.98,250,43,47,12.51
2002,"HALIFAX",253.93,254,83,102.5,27.72
2002,"SUFFOLK CITY",262.99,245,800,65,16.96
2002,"MADISON",261.94,246,113,53,13.88
2002,"ROCKBRIDGE",182.33,326,163,50.5,17.53
2002,"VIRGINIA BEACH CITY",228.38,280,810,47.5,14.16
2002,"AUGUSTA",183.24,325,15,189.5,65.58
2002,"CRAIG",252.17,256,45,14.5,3.95
2002,"SURRY",239.91,268,181,26,7.42
2002,"RICHMOND",189.46,319,159,16,5.44
2002,"PRINCE WILLIAM",191.17,317,153,51.5,17.38
2002,"YORK",179.13,329,199,14,4.9
2002,"AMELIA",183.52,324,7,41.5,14.32
2002,"MIDDLESEX",217.69,290,119,17,5.25
2002,"LOUISA",266.05,242,109,71,18.3
2002,"LUNENBURG",278.51,229,111,34,8.29
2002,"MATHEWS",209.99,298,115,13.5,4.28
2002,"WASHINGTON",372.99,135,191,106,15.24
2002,"BUCKINGHAM",182.8,325,29,17.5,6.06
2002,"CAROLINE",203.9,304,33,25,8.09
2002,"DINWIDDIE",257.98,250,53,40,10.65
2002,"PATRICK",230.32,278,141,57.5,17.02
