"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Tot_area_lg"
"ACCOMACK",1,9716,17,5389.55086,215.86,292,5.29,3444.534,3021.09,-428.734,-0.079549114784678
"ALBEMARLE",3,1387,120,3908.210335,249.55,258,32.97,0,381.06,348.09,0.0890663424336909
"ALLEGHANY",5,191,11,21938.65572,220.71,287,3.36,0,58.37,55.01,0.00250744624930921
"AMELIA",7,886,109,42.093,183.52,324,37.61,42.093,305.68,225.977,5.36851733067256
"AMHERST",9,144,36,5863,194.36,314,12.04,0,48.15,36.11,0.00615896298823128
"APPOMATTOX",11,508,19,87.302,200.94,307,6.21,0,166.07,159.86,1.83111498018373
"AUGUSTA",15,3416,184,4341.0051,183.24,325,63.68,461.554,1182.21,656.976,0.1513419092735
"BATH",17,109,0,4118.789482,211.17,297,0,0,34.47,34.47,0.00836896378186876
"BEDFORD",19,676,159,4864.389855,241.49,267,45.21,0,192.2,146.99,0.0302175615815234
"BLAND",21,135,21,72.718,266.76,241,5.39,0,34.65,29.26,0.40237630297863
"BOTETOURT",23,253,77,2906.553869,219.1,289,23.7,0,77.86,54.16,0.0186337506342636
"BRUNSWICK",25,1474,126,731.753,280.95,227,30.46,0,356.3,325.84,0.445286865923338
"BUCKINGHAM",29,469,16,459.12,182.8,325,5.54,0,162.31,156.77,0.341457571005402
"CAMPBELL",31,1328,130,2215.3349,231.63,276,38.21,0,390.3,352.09,0.158933080501734
"CAROLINE",33,2272,25,2657.6773,203.9,304,8.09,960.526,735.49,-233.126,-0.0877179483001943
"CARROLL",35,785,60,168.574,281.67,226,14.44,0,188.92,174.48,1.03503505878724
"CHARLES CITY",36,1122,21,291.196,162.91,345,7.71,268.67,412.2,135.82,0.466421242050028
"CHARLOTTE",37,1454,202,116.545,271.47,237,50.98,0,366.95,315.97,2.71114161911708
"CHESTERFIELD",41,571,35,32908.706117,164.69,343,12.78,55,208.56,140.78,0.00427789532348936
"CLARKE",43,327,94,259.376083,257.98,250,25.02,42.8,87.05,19.23,0.0741394494726794
"CRAIG",45,130,30,862.29,252.17,256,8.18,0,35.44,27.26,0.0316134943000615
"CULPEPER",47,589,111,598.094,214.71,293,34.63,4.11,183.77,145.03,0.242486966931619
"CUMBERLAND",49,222,27,2.622,174.03,334,9.6,0,78.96,69.36,26.4530892448513
"DINWIDDIE",53,1164,115,102.639,257.98,250,30.61,14.055,309.88,265.215,2.58395931371116
"ESSEX",57,246,39,295.8453,205.9,302,12.54,140.34,79.11,-73.77,-0.249353293765356
"FAIRFAX",59,101,101,31715.8939,185.45,323,34.74,14.599,34.74,-14.599,-0.000460305487401066
"FAUQUIER",61,862,202,917.868,206.7,301,64.75,0,276.29,211.54,0.230468869162015
"FLOYD",63,779,196,59.2953,204.98,303,63.24,0,251.35,188.11,3.17242681966362
"FLUVANNA",65,57,24,264.928204,225.19,283,7.23,0,17.18,9.95,0.0375573451590681
"FRANKLIN",67,1126,242,414.587,273.46,235,60.56,11.81,281.77,209.4,0.505080960087991
"FREDERICK",69,520,159,672.497,261.41,247,41.82,9,136.77,85.95,0.127807261593732
"GILES",71,193,28,24886.2384,252.49,256,7.63,0,52.61,44.98,0.00180742462066907
