"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Under_TH_lg"
"ACCOMACK",1,6508,49,3324.218319,254.2,254,13.25,1779.744198,1760.25,-32.7442,-0.00985019540168174
"ALBEMARLE",3,1026,70,3966.777343,310.72,197,14.68,0,215.23,200.55,0.05055741289687
"AMELIA",7,562,38,15.681,245.76,262,10.6,15.681,156.79,130.509,8.3227472737708
"AMHERST",9,147,27,5940.585,216.57,291,8.37,0,45.55,37.18,0.00625864287776372
"APPOMATTOX",11,43,43,97.49015,246.72,261,11.95,0,11.95,0,0
"AUGUSTA",15,3813,195,4114.81766,263.68,244,50.67,592.1592,990.72,347.8908,0.0845458605327362
"BATH",17,7,7,4446.422228,206.39,302,2.25,0,2.25,0,0
"BEDFORD",19,567,41,6611.067713,227.42,281,12.27,11.9226,169.66,145.4674,0.0220036167098929
"BLAND",21,10,10,57.531,227.8,280,2.98,0,2.98,0,0
"BOTETOURT",23,63,25,659.376353,238.53,269,7.16,0,18.05,10.89,0.0165156059213425
"BRUNSWICK",25,1316,26,931.0598,200.65,307,8.5,0,430.22,421.72,0.452946201736988
"BUCKINGHAM",29,39,26,161.28066,272.59,235,6.51,0,9.76,3.25,0.020151207218522
"CAMPBELL",31,779,107,2235.9818,242.45,266,30.31,59.51,220.65,130.83,0.0585112097066264
"CAROLINE",33,2112,79,2399.616658,221.7,286,24.06,541.364,643.21,77.786,0.0324160110077049
"CARROLL",35,600,31,163.0234,257.15,251,8.29,0,160.37,152.08,0.932872213436844
"CHARLES CITY",36,739,12,45.210129,310.18,198,2.53,11.9,155.81,141.38,3.1271753283429
"CHARLOTTE",37,731,136,119.47302,231.06,277,40.12,23.2,215.62,152.3,1.27476479626948
"CHESTERFIELD",41,185,46,33392.7401,254.63,253,12.39,37.9,49.84,-0.45,-0.000013475983062558
"CLARKE",43,514,60,258.64086,191.58,316,20.19,44,172.96,108.77,0.42054453422402
"CRAIG",45,6,6,32.0455,239.52,268,1.71,0,1.71,0,0
"CULPEPER",47,1266,67,1255.77563,212.79,295,21.05,410.727,397.69,-34.087,-0.0271441802067779
"DINWIDDIE",53,1885,25,156.3327,266.9,241,6.42,97.3087,483.75,380.0213,2.43084971986027
"FAIRFAX",59,40,40,34091.9674,202.2,306,13.03,17.4,13.03,-17.4,-0.000510384155770371
"FAUQUIER",61,920,160,1254.3955,206.09,302,51.45,0,295.86,244.41,0.194842854586133
"FLOYD",63,108,108,22.396,205.91,302,34.73,0,34.73,0,0
