"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_irr","Method1_Unreported"
"ACCOMACK",1,5371,54,3414.518315,315.02,193,11.1,0.00325082456030112,11.1
"AMELIA",7,374,45,85.5,195.37,313,15,0.175438596491228,15
"AUGUSTA",15,3271,87,424.6243,332.94,175,16.21,0.0381749231026109,16.21
"BEDFORD",19,93,54,11.55,223.25,285,16.39,1.41904761904762,16.39
"CAMPBELL",31,290,98,57.88,256.6,251,26.19,0.45248790601244,26.19
"CAROLINE",33,1959,25,792.39,225.94,282,7.51,0.0094776562046467,7.51
"CHARLES CITY",36,1435,11,405.611,300.37,208,2.44,0.00601561594729926,2.44
"CHARLOTTE",37,759,85,15.3,272.3,236,21.36,1.39607843137255,21.36
"CHESTERFIELD",41,64,12,22.9,240.09,268,3.42,0.149344978165939,3.42
"CLARKE",43,249,28,46.58,243.06,265,7.9,0.169600686990125,7.9
"CULPEPER",47,641,64,93.1449,279.19,229,15.61,0.167588348905845,15.61
"DINWIDDIE",53,1162,53,17.00596,251.02,257,14.5,0.852642250128778,14.5
"FLOYD",63,192,133,21.1,216.51,291,41.21,1.95308056872038,41.21
"GREENSVILLE",81,246,9,32.252,384.09,124,1.19,0.0368969366240853,1.19
"HALIFAX",83,2152,223,2.139,265.24,243,57.7,26.9752220663862,57.7
"HANOVER",85,3338,247,560.29,252.59,255,67.07,0.119705866604794,67.07
"HENRICO",87,7,7,100.69,290.28,218,1.62,0.0160889859966233,1.62
"ISLE OF WIGHT",93,702,13,5.75,399.4,109,1.51,0.262608695652174,1.51
"KING AND QUEEN",97,18,18,246.17,236.84,271,5.19,0.0210829914286875,5.19
"KING GEORGE",99,350,34,216.35,218.14,290,10.5,0.0485324705338572,10.5
"KING WILLIAM",101,1125,16,352.326,236.94,271,4.62,0.0131128557074982,4.62
"LOUDOUN",107,580,235,0.4321,223.71,284,71.07,164.475815783383,71.07
"LUNENBURG",111,444,33,6.76,319.14,189,6.64,0.982248520710059,6.64
"MIDDLESEX",119,477,18,88.8,285.59,222,4.26,0.047972972972973,4.26
"MONTGOMERY",121,349,37,65.645,217.7,290,11.43,0.174118363927184,11.43
"NELSON",125,862,57,424.98,284.05,224,13.6,0.0320015059532213,13.6
"NORTHAMPTON",131,6335,47,881.646009,319.6,188,9.41,0.0106732179400134,9.41
"ORANGE",137,563,51,11,312.69,195,10.59,0.962727272727273,10.59
"PAGE",139,1005,19,51.94,286.71,221,4.47,0.0860608394301117,4.47
"PITTSYLVANIA",143,3717,184,27.140785,256.64,251,49.18,1.81203307126157,49.18
"POWHATAN",145,99,20,4,262.98,245,5.22,1.305,5.22
"PRINCE EDWARD",147,96,11,0.05148,232.14,276,3.23,62.7428127428127,3.23
"PRINCE WILLIAM",153,1006,69,47.42,219.82,288,21.16,0.446225221425559,21.16
"ROCKINGHAM",165,5645,350,578.196,331.01,177,65.97,0.114096258016313,65.97
"SHENANDOAH",171,719,111,31.96,315.7,192,22.69,0.709949937421777,22.69
"SOUTHAMPTON",175,3246,28,159.7402,408.28,100,2.98,0.0186552915296212,2.98
"SPOTSYLVANIA",177,58,29,10.2,216.38,292,9.02,0.884313725490196,9.02
"SURRY",181,1238,65,22.35,351.19,157,10.87,0.486353467561521,10.87
"SUSSEX",183,1371,25,71.71,311.6,196,5.22,0.072793194812439,5.22
"WESTMORELAND",193,1642,2,380.14,234.47,274,0.58,0.00152575366970064,0.58
"SUFFOLK CITY",800,414,62,133.01,418.81,89,5.88,0.04420720246598,5.88
