"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_irr","Method1_Unreported"
"ACCOMACK",1,9716,17,3444.534,215.86,292,5.29,0.00153576652168334,5.29
"AMELIA",7,886,109,42.093,183.52,324,37.61,0.893497731214216,37.61
"AUGUSTA",15,3416,184,461.554,183.24,325,63.68,0.137968688387491,63.68
"CAROLINE",33,2272,25,960.526,203.9,304,8.09,0.0084224685224554,8.09
"CHARLES CITY",36,1122,21,268.67,162.91,345,7.71,0.0286969144303421,7.71
"CHESTERFIELD",41,571,35,55,164.69,343,12.78,0.232363636363636,12.78
"CLARKE",43,327,94,42.8,257.98,250,25.02,0.584579439252336,25.02
"CULPEPER",47,589,111,4.11,214.71,293,34.63,8.42579075425791,34.63
"DINWIDDIE",53,1164,115,14.055,257.98,250,30.61,2.17787264318748,30.61
"ESSEX",57,246,39,140.34,205.9,302,12.54,0.089354424967935,12.54
"FAIRFAX",59,101,101,14.599,185.45,323,34.74,2.37961504212617,34.74
"FRANKLIN",67,1126,242,11.81,273.46,235,60.56,5.12785774767146,60.56
"FREDERICK",69,520,159,9,261.41,247,41.82,4.64666666666667,41.82
"GREENSVILLE",81,734,0,50.8297,268.68,239,0,0,0
"HALIFAX",83,2617,82,26.816,253.93,254,22.18,0.827118138424821,22.18
"HANOVER",85,2393,278,236.0457,170.63,337,99.76,0.422630024609641,99.76
"ISLE OF WIGHT",93,791,5,97.5,246.5,262,1.39,0.0142564102564103,1.39
"KING AND QUEEN",97,743,64,256.91,184.5,324,22.08,0.0859444941808415,22.08
"KING WILLIAM",101,2457,15,143.51,174.97,333,5.32,0.0370705874155111,5.32
"LOUDOUN",107,3666,185,36.6,209.01,299,58.9,1.60928961748634,58.9
"LUNENBURG",111,1484,61,10,278.51,229,14.88,1.488,14.88
"MECKLENBURG",117,4158,236,5.59,244.82,263,66.09,11.8228980322004,66.09
"MIDDLESEX",119,651,16,13.4,217.69,290,4.94,0.368656716417911,4.94
"MONTGOMERY",121,303,41,17,189.56,318,13.88,0.816470588235294,13.88
"NELSON",125,795,145,192.13,200.79,307,47.4,0.246707958153334,47.4
"NEW KENT",127,458,15,11.89,167.24,341,5.45,0.458368376787216,5.45
"NORTHAMPTON",131,9338,44,742.087,204.19,304,14.24,0.0191891247252681,14.24
"ORANGE",137,1556,53,0.45,237.63,270,15.24,33.8666666666667,15.24
"PAGE",139,238,14,34.476,231.87,276,4.11,0.119213365819701,4.11
"PITTSYLVANIA",143,5606,211,86.068,237,271,60.89,0.707463865780546,60.89
"POWHATAN",145,230,32,0.58,177.67,330,11.24,19.3793103448276,11.24
"PRINCE EDWARD",147,526,46,38.6,192.82,315,15.43,0.399740932642487,15.43
"PRINCE WILLIAM",153,1173,10,3.4,191.17,317,3.38,0.994117647058824,3.38
"ROANOKE",161,92,82,20.7,255.62,252,22,1.06280193236715,22
"ROCKINGHAM",165,4355,174,276.896,211.37,297,55.03,0.198738876690165,55.03
"SHENANDOAH",171,1110,36,30.277,237.71,270,10.35,0.34184364368993,10.35
"SOUTHAMPTON",175,2385,0,41,296.08,212,0,0,0
"SPOTSYLVANIA",177,346,40,60.56,188.63,319,13.59,0.224405548216645,13.59
"SURRY",181,1472,30,53.203,239.91,268,8.56,0.16089318271526,8.56
"SUSSEX",183,1410,16,38.6,297.29,211,3.59,0.0930051813471502,3.59
"WESTMORELAND",193,1474,122,311.381,229.79,278,36.12,0.115999370546051,36.12
"SUFFOLK CITY",800,1167,109,208.64,262.99,245,28.44,0.136311349693252,28.44
