"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,9716,17,5389.55086,215.86,292,5.29,0.000981528913524345,5.29
"2","ALBEMARLE",3,1387,120,3908.210335,249.55,258,32.97,0.00843608638581628,32.97
"3","ALLEGHANY",5,191,11,21938.65572,220.71,287,3.36,0.000153154324626049,3.36
"4","AMELIA",7,886,109,42.093,183.52,324,37.61,0.893497731214216,37.61
"5","AMHERST",9,144,36,5863,194.36,314,12.04,0.00205355619989766,12.04
"6","APPOMATTOX",11,508,19,87.302,200.94,307,6.21,0.0711323910105152,6.21
"7","AUGUSTA",15,3416,184,4341.0051,183.24,325,63.68,0.0146694137724003,63.68
"8","BATH",17,109,0,4118.789482,211.17,297,0,0,0
"9","BEDFORD",19,676,159,4864.389855,241.49,267,45.21,0.0092940741485861,45.21
"10","BLAND",21,135,21,72.718,266.76,241,5.39,0.074121950548695,5.39
"11","BOTETOURT",23,253,77,2906.553869,219.1,289,23.7,0.00815398615273351,23.7
"12","BRUNSWICK",25,1474,126,731.753,280.95,227,30.46,0.0416260678124996,30.46
"13","BUCKINGHAM",29,469,16,459.12,182.8,325,5.54,0.012066562118836,5.54
"14","CAMPBELL",31,1328,130,2215.3349,231.63,276,38.21,0.0172479565053573,38.21
"15","CAROLINE",33,2272,25,2657.6773,203.9,304,8.09,0.00304401140048116,8.09
"16","CARROLL",35,785,60,168.574,281.67,226,14.44,0.085659710275606,14.44
"17","CHARLES CITY",36,1122,21,291.196,162.91,345,7.71,0.0264770120468688,7.71
"18","CHARLOTTE",37,1454,202,116.545,271.47,237,50.98,0.437427603071775,50.98
"19","CHESTERFIELD",41,571,35,32908.706117,164.69,343,12.78,0.000388347082214761,12.78
"20","CLARKE",43,327,94,259.376083,257.98,250,25.02,0.0964622478318481,25.02
"21","CRAIG",45,130,30,862.29,252.17,256,8.18,0.00948636769532292,8.18
"22","CULPEPER",47,589,111,598.094,214.71,293,34.63,0.0579005975649313,34.63
"23","CUMBERLAND",49,222,27,2.622,174.03,334,9.6,3.66132723112128,9.6
"24","DINWIDDIE",53,1164,115,102.639,257.98,250,30.61,0.298229717748614,30.61
"25","ESSEX",57,246,39,295.8453,205.9,302,12.54,0.0423870178096458,12.54
"26","FAIRFAX",59,101,101,31715.8939,185.45,323,34.74,0.0010953498617928,34.74
"27","FAUQUIER",61,862,202,917.868,206.7,301,64.75,0.0705439126323175,64.75
"28","FLOYD",63,779,196,59.2953,204.98,303,63.24,1.06652635200429,63.24
"29","FLUVANNA",65,57,24,264.928204,225.19,283,7.23,0.0272904126130716,7.23
"30","FRANKLIN",67,1126,242,414.587,273.46,235,60.56,0.14607307995668,60.56
"31","FREDERICK",69,520,159,672.497,261.41,247,41.82,0.0621861510162871,41.82
"32","GILES",71,193,28,24886.2384,252.49,256,7.63,0.00030659515019353,7.63
"33","GLOUCESTER",73,98,51,445.9206,198.37,310,16.84,0.0377645706432939,16.84
"34","GOOCHLAND",75,101,23,695.2937,187.49,321,7.86,0.0113045753183151,7.86
"35","GRAYSON",77,619,77,67.504,287.24,221,18.12,0.268428537568144,18.12
"36","GREENE",79,36,36,201.205732,279.71,228,8.74,0.0434381263054673,8.74
"37","GREENSVILLE",81,734,0,647.5772,268.68,239,0,0,0
"38","HALIFAX",83,2617,82,772.2776,253.93,254,22.18,0.0287202425656267,22.18
"39","HANOVER",85,2393,278,5914.3517,170.63,337,99.76,0.01686744466008,99.76
"40","HENRICO",87,49,49,677.181536,175.58,332,17.32,0.0255765981191785,17.32
"41","HENRY",89,416,39,1815.299008,230.12,278,11.55,0.0063625881736834,11.55
"42","ISLE OF WIGHT",93,791,5,16964.964678,246.5,262,1.39,0.0000819335628680995,1.39
"43","JAMES CITY",95,102,12,5502.30478,169.8,338,4.32,0.000785125537884145,4.32
"44","KING AND QUEEN",97,743,64,261.51,184.5,324,22.08,0.0844327176781003,22.08
"45","KING GEORGE",99,3,3,761.1532,194.17,314,1,0.00131379596118101,1
"46","KING WILLIAM",101,2457,15,7514.2431,174.97,333,5.32,0.000707988805951727,5.32
"47","LEE",105,1374,204,597.42,232.23,276,59.96,0.100364902413712,59.96
"48","LOUDOUN",107,3666,185,2154.691,209.01,299,58.9,0.0273357061406949,58.9
"49","LOUISA",109,365,51,199.934,266.05,242,13.14,0.0657216881570918,13.14
"50","LUNENBURG",111,1484,61,231.424,278.51,229,14.88,0.0642975663716814,14.88
"51","MADISON",113,333,72,39.538,261.94,246,18.86,0.477009459254388,18.86
"52","MATHEWS",115,117,5,1.113,209.99,298,1.59,1.42857142857143,1.59
"53","MECKLENBURG",117,4158,236,1132.005,244.82,263,66.09,0.0583831343501133,66.09
"54","MIDDLESEX",119,651,16,117.3,217.69,290,4.94,0.0421142369991475,4.94
"55","MONTGOMERY",121,303,41,8396.0889,189.56,318,13.88,0.00165315067114165,13.88
"56","NELSON",125,795,145,593.2255,200.79,307,47.4,0.0799021619940478,47.4
"57","NEW KENT",127,458,15,14967.40878,167.24,341,5.45,0.000364124484077865,5.45
"58","NORTHAMPTON",131,9338,44,997.0889,204.19,304,14.24,0.014281575093254,14.24
"59","NORTHUMBERLAND",133,38,10,73.9144,215.27,293,3.12,0.0422109900100657,3.12
"60","NOTTOWAY",135,457,32,214.159,215.41,293,9.98,0.0466008899929492,9.98
"61","ORANGE",137,1556,53,569.231,237.63,270,15.24,0.0267729621190694,15.24
"62","PAGE",139,238,14,876.3444,231.87,276,4.11,0.00468993696998577,4.11
"63","PATRICK",141,325,134,241.6111,230.32,278,39.67,0.16418947639409,39.67
"64","PITTSYLVANIA",143,5606,211,1800.3949,237,271,60.89,0.0338203579670216,60.89
"65","POWHATAN",145,230,32,32.6476,177.67,330,11.24,0.344282581261716,11.24
"66","PRINCE EDWARD",147,526,46,408.714,192.82,315,15.43,0.0377525604701576,15.43
"67","PRINCE WILLIAM",153,1173,10,21593.872,191.17,317,3.38,0.000156525888455762,3.38
"68","PULASKI",155,320,3,1760.111,212.68,295,0.94,0.000534057227072611,0.94
"69","RAPPAHANNOCK",157,335,10,14.576,222.83,285,3.03,0.207875960482986,3.03
"70","ROANOKE",161,92,82,7430.9603,255.62,252,22,0.00296058639958015,22
"71","ROCKBRIDGE",163,700,55,1333.348511,182.33,326,19.09,0.0143173370221733,19.09
"72","ROCKINGHAM",165,4355,174,8784.345484,211.37,297,55.03,0.00626455324420389,55.03
"73","RUSSELL",167,251,118,1644.2773,327.72,180,22.62,0.0137568036729571,22.62
"74","SCOTT",169,637,180,380.623,281.04,227,43.51,0.114312587520985,43.51
"75","SHENANDOAH",171,1110,36,1967.5901,237.71,270,10.35,0.00526024195791593,10.35
"76","SMYTH",173,452,38,2503.458,315.77,192,7.77,0.00310370695254324,7.77
"77","SOUTHAMPTON",175,2385,0,6068.35342,296.08,212,0,0,0
"78","SPOTSYLVANIA",177,346,40,3729.491,188.63,319,13.59,0.00364392889002816,13.59
"79","STAFFORD",179,186,22,3516.87,198.83,309,7.24,0.00205864874163674,7.24
"80","SURRY",181,1472,30,136.30141,239.91,268,8.56,0.0628019915568005,8.56
"81","SUSSEX",183,1410,16,397.3285,297.29,211,3.59,0.00903534480914407,3.59
"82","TAZEWELL",185,245,29,1763.684,294.61,213,6.58,0.00373082706425868,6.58
"83","WARREN",187,151,70,3691.9461,238.84,269,20.05,0.00543074017250685,20.05
"84","WASHINGTON",191,836,155,3081.793,372.99,135,22.28,0.00722955759844999,22.28
"85","WESTMORELAND",193,1474,122,663.730732,229.79,278,36.12,0.0544196588444243,36.12
"86","WISE",195,28,10,2350.4953,308.96,199,2.12,0.00090193756184069,2.12
"87","WYTHE",197,1061,22,1596.5893,254.55,253,5.93,0.00371416744431395,5.93
"88","YORK",199,41,41,31129.510681,179.13,329,14.36,0.000461298609771103,14.36
"89","CHESAPEAKE CITY",550,314,189,1681.9399,266.87,241,48.5,0.0288357509088167,48.5
"90","SUFFOLK CITY",800,1167,109,35591.817279,262.99,245,28.44,0.000799060069820606,28.44
"91","VIRGINIA BEACH CITY",810,431,35,10522.4833922,228.38,280,10.44,0.000992161223817075,10.44
