"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,6508,49,3324.218319,254.2,508,26.51,0.01,33.24218319
"2","ALBEMARLE",3,1026,70,3966.777343,310.72,451,33.62,0.01,39.66777343
"3","AMELIA",7,562,38,15.681,245.76,516,20.88,1.33,20.85573
"4","AMHERST",9,147,27,5940.585,216.57,545,15.67,0,0
"5","APPOMATTOX",11,43,43,97.49015,246.72,515,23.58,0.24,23.397636
"6","AUGUSTA",15,3813,195,4114.81766,263.68,498,103.41,0.03,123.4445298
"7","BATH",17,7,7,4446.422228,206.39,556,4.14,0,0
"8","BEDFORD",19,567,41,6611.067713,227.42,535,23.36,0,0
"9","BLAND",21,10,10,57.531,227.8,534,5.69,0.1,5.7531
"10","BOTETOURT",23,63,25,659.376353,238.53,523,13.92,0.02,13.18752706
"11","BRUNSWICK",25,1316,26,931.0598,200.65,561,15.53,0.02,18.621196
"12","BUCKINGHAM",29,39,26,161.28066,272.59,489,13.54,0.08,12.9024528
"13","CAMPBELL",31,779,107,2235.9818,242.45,520,59.25,0.03,67.079454
"14","CAROLINE",33,2112,79,2399.616658,221.7,540,45.43,0.02,47.99233316
"15","CARROLL",35,600,31,163.0234,257.15,505,16.67,0.1,16.30234
"16","CHARLES CITY",36,739,12,45.210129,310.18,452,5.78,0.13,5.87731677
"17","CHARLOTTE",37,731,136,119.47302,231.06,531,76.9,0.64,76.4627328
"18","CHESTERFIELD",41,185,46,33392.7401,254.63,507,24.83,0,0
"19","CLARKE",43,514,60,258.64086,191.58,570,36.42,0.14,36.2097204
"20","CRAIG",45,6,6,32.0455,239.52,522,3.34,0.1,3.20455
"21","CULPEPER",47,1266,67,1255.77563,212.79,549,39.17,0.03,37.6732689
"22","DINWIDDIE",53,1885,25,156.3327,266.9,495,13.18,0.08,12.506616
"23","FAIRFAX",59,40,40,34091.9674,202.2,560,23.85,0,0
"24","FAUQUIER",61,920,160,1254.3955,206.09,556,94.73,0.08,100.35164
"25","FLOYD",63,108,108,22.396,205.91,556,63.94,2.85,63.8286
