County,Total.Irri.Area,Facility_withdrawal_mg,SM_F_Unreported,All_Irrigation,Large_Farm_unreported,C_irr_lg
PRINCE EDWARD,96,0.05148,6.21,54.18,47.91852,930.8181818
HALIFAX,2152,2.139,118.02,1138.92,1018.761,476.2791024
LOUDOUN,580,0.4321,134.63,332.28,197.2179,456.4172645
PITTSYLVANIA,3717,27.140785,98.95,1998.84,1872.749215,69.00129141
ISLE OF WIGHT,702,5.75,5.03,271.35,260.57,45.31652174
DINWIDDIE,1162,17.00596,28.84,632.3,586.45404,34.48520636
LUNENBURG,444,6.76,15.57,209.45,187.12,27.68047337
CHARLOTTE,759,15.3,44.35,396.03,336.38,21.98562092
SURRY,1238,22.35,28.45,541.82,491.02,21.96957494
ORANGE,563,11,24.38,269.18,233.8,21.25454545
PRINCE WILLIAM,1006,47.42,39.82,580.62,493.38,10.40447069
POWHATAN,99,4,10.63,52.61,37.98,9.495
PAGE,1005,51.94,9.61,508.34,446.79,8.602040816
SHENANDOAH,719,31.96,52.72,341.47,256.79,8.034730914
SUSSEX,1371,71.71,11.98,656.97,573.28,7.994421977
SOUTHAMPTON,3246,159.7402,10.55,1223.62,1053.3298,6.594018287
ROCKINGHAM,5645,578.196,160.63,2590.81,1851.984,3.203038416
AUGUSTA,3271,424.6243,39.74,1494.28,1029.9157,2.425475179
NORTHAMPTON,6335,881.646009,22.12,2981.69,2077.923991,2.356868822
CULPEPER,641,93.1449,32.92,329.68,203.6151,2.186003743
HANOVER,3338,560.29,133.88,1809.25,1115.08,1.990183655
GREENSVILLE,246,32.252,3.62,99.02,63.148,1.957956096
MONTGOMERY,349,65.645,21.43,202.17,115.095,1.753294234
CLARKE,249,46.58,15.47,137.61,75.56,1.622155432
MIDDLESEX,477,88.8,9.12,241.78,143.86,1.620045045
WESTMORELAND,1642,380.14,1.12,923.21,541.95,1.425658968
AMELIA,374,85.5,27.17,225.81,113.14,1.323274854
BEDFORD,93,11.55,30.99,53.38,10.84,0.938528139
CAMPBELL,290,57.88,52.7,155.95,45.37,0.783863165
KING WILLIAM,1125,352.326,8.94,628.93,267.664,0.7597055
CHARLES CITY,1435,405.611,5.41,705.97,294.949,0.727172093
SPOTSYLVANIA,58,10.2,16.86,33.72,6.66,0.652941176
FLOYD,192,21.1,77.19,111.43,13.14,0.622748815
CAROLINE,1959,792.39,14.27,1118.13,311.47,0.393076642
CHESTERFIELD,64,22.9,6.67,35.57,6,0.262008734
SUFFOLK CITY,414,133.01,22.65,151.21,-4.45,-0.033456131
NELSON,862,424.98,29.01,438.76,-15.23,-0.035836981
KING GEORGE,350,216.35,19.7,202.75,-33.3,-0.153917264
ACCOMACK,5371,3414.518315,25.7,2556.56,-883.658315,-0.258794428
HENRICO,7,100.69,3.52,3.52,-100.69,-1
KING AND QUEEN,18,246.17,10.06,10.06,-246.17,-1
